seed,drone_id,time,waypoint_seq,waypoint_id,waypoint_location,monitor_area,task
0,0,39.8,1,384,"[66.6, 30.56, 2.0]",[28],"{'df', 'df3', 'dh', 'dw'}"
0,0,45.8,2,380,"[66.6, 30.56, 5.0]",[60],"{'df', 'dh', 'dw'}"
0,0,51.8,3,376,"[66.6, 30.56, 8.0]",[92],"{'df', 'dh', 'dw'}"
0,0,57.8,4,372,"[66.6, 30.56, 11.0]",[124],"{'df', 'dh', 'dw'}"
0,0,65.17999999999999,5,371,"[59.46, 30.56, 11.0]",[125],"{'df', 'dh', 'dw'}"
0,0,71.17999999999999,6,375,"[59.46, 30.56, 8.0]",[93],"{'df', 'dh', 'dw'}"
0,0,77.17999999999999,7,379,"[59.46, 30.56, 5.0]",[61],"{'df', 'dh', 'dw'}"
0,0,83.17999999999999,8,383,"[59.46, 30.56, 2.0]",[29],"{'df', 'dh', 'dw'}"
0,0,90.39999999999999,9,382,"[52.79, 30.56, 2.0]",[30],"{'df', 'dh', 'dw'}"
0,0,96.39999999999999,10,378,"[52.79, 30.56, 5.0]",[62],"{'df', 'dh', 'dw'}"
0,0,102.39999999999999,11,374,"[52.79, 30.56, 8.0]",[94],"{'df', 'dh', 'dw'}"
0,0,108.39999999999999,12,370,"[52.79, 30.56, 11.0]",[126],"{'df', 'dh', 'dw'}"
0,0,115.66999999999999,13,369,"[45.97, 30.56, 11.0]",[127],"{'df', 'dh', 'dw'}"
0,0,121.66999999999999,14,373,"[45.97, 30.56, 8.0]",[95],"{'df', 'dh', 'dw'}"
0,0,127.66999999999999,15,377,"[45.97, 30.56, 5.0]",[63],"{'df', 'dh', 'dw'}"
0,0,133.67,16,381,"[45.97, 30.56, 2.0]",[31],"{'df', 'dh', 'dw'}"
0,0,141.7,17,45,"[37.81, 34.58, 2.0]",[0],"{'df', 'dh', 'dw'}"
0,0,147.7,18,41,"[37.81, 34.58, 5.0]",[32],"{'df', 'dh', 'dw'}"
0,0,153.7,19,37,"[37.81, 34.58, 8.0]",[64],"{'df', 'dh', 'dw'}"
0,0,159.7,20,33,"[37.81, 34.58, 11.0]",[96],"{'df', 'dh', 'dw'}"
0,0,166.98999999999998,21,34,"[37.81, 41.44, 11.0]",[97],"{'df', 'dh', 'dw'}"
0,0,172.98999999999998,22,38,"[37.81, 41.44, 8.0]",[65],"{'df', 'dh', 'dw'}"
0,0,178.98999999999998,23,42,"[37.81, 41.44, 5.0]",[33],"{'df', 'dh', 'dw'}"
0,0,184.98999999999998,24,46,"[37.81, 41.44, 2.0]",[1],"{'df', 'dh', 'dw'}"
0,0,192.17999999999998,25,47,"[37.81, 48.02, 2.0]",[2],"{'df', 'dh', 'dw'}"
0,0,198.17999999999998,26,43,"[37.81, 48.02, 5.0]",[34],"{'df', 'dh', 'dw'}"
0,0,204.17999999999998,27,39,"[37.81, 48.02, 8.0]",[66],"{'df', 'dh', 'dw'}"
0,0,210.17999999999998,28,35,"[37.81, 48.02, 11.0]",[98],"{'df', 'dh', 'dw'}"
0,0,217.90999999999997,29,36,"[37.81, 56.22, 11.0]",[99],"{'df', 'dh', 'dw'}"
0,0,223.90999999999997,30,40,"[37.81, 56.22, 8.0]",[67],"{'df', 'dh', 'dw'}"
0,0,229.90999999999997,31,44,"[37.81, 56.22, 5.0]",[35],"{'df', 'dh', 'dw'}"
0,0,235.90999999999997,32,48,"[37.81, 56.22, 2.0]",[3],"{'df', 'dh', 'dw'}"
0,0,248.90999999999997,33,16,"[37.81, 56.22, 26.0]",[259],"{'df', 'dh', 'dw'}"
0,0,254.90999999999997,34,12,"[37.81, 56.22, 29.0]",[291],"{'df', 'dh', 'dw'}"
0,0,260.90999999999997,35,8,"[37.81, 56.22, 32.0]",[323],"{'df', 'dh', 'dw'}"
0,0,266.90999999999997,36,4,"[37.81, 56.22, 35.0]",[355],"{'df', 'dh', 'dw'}"
0,0,274.64,37,3,"[37.81, 48.02, 35.0]",[354],"{'df', 'dh', 'dw'}"
0,0,280.64,38,7,"[37.81, 48.02, 32.0]",[322],"{'df', 'dh', 'dw'}"
0,0,286.64,39,11,"[37.81, 48.02, 29.0]",[290],"{'df', 'dh', 'dw'}"
0,0,292.64,40,15,"[37.81, 48.02, 26.0]",[258],"{'df', 'dh', 'dw'}"
0,0,299.83,41,14,"[37.81, 41.44, 26.0]",[257],"{'df', 'dh', 'dw'}"
0,0,305.83,42,10,"[37.81, 41.44, 29.0]",[289],"{'df', 'dh', 'dw'}"
0,1,13.94,1,192,"[-1.47, 6.72, 2.0]",[15],"{'df', 'dh', 'dw'}"
0,1,19.939999999999998,2,188,"[-1.47, 6.72, 5.0]",[47],"{'df', 'dh', 'dw'}"
0,1,25.939999999999998,3,184,"[-1.47, 6.72, 8.0]",[79],"{'df', 'dh', 'dw'}"
0,1,31.939999999999998,4,180,"[-1.47, 6.72, 11.0]",[111],"{'df', 'dh', 'dw'}"
0,1,39.209999999999994,5,179,"[-1.47, 13.54, 11.0]",[110],"{'df', 'dh', 'dw'}"
0,1,45.209999999999994,6,183,"[-1.47, 13.54, 8.0]",[78],"{'df', 'dh', 'dw'}"
