seed,drone_id,time,waypoint_seq,waypoint_id,waypoint_location,monitor_area,task
0,0,28.31,1,222,"[-5.0, 48.88, 11.0]",[104],"{'df', 'dw', 'dh'}"
0,0,34.31,2,217,"[-5.0, 48.88, 14.0]",[136],"{'df', 'dw', 'dh'}"
0,0,40.31,3,212,"[-5.0, 48.88, 17.0]",[168],"{'df', 'dw', 'dh'}"
0,0,46.31,4,207,"[-5.0, 48.88, 20.0]",[200],"{'df', 'dw', 'dh'}"
0,0,53.300000000000004,5,206,"[-5.0, 54.84, 20.0]",[199],"{'df', 'dw', 'dh'}"
0,0,59.300000000000004,6,211,"[-5.0, 54.84, 17.0]",[167],"{'df', 'dw', 'dh'}"
0,0,65.30000000000001,7,216,"[-5.0, 54.84, 14.0]",[135],"{'df', 'dw', 'dh'}"
0,0,71.30000000000001,8,221,"[-5.0, 54.84, 11.0]",[103],"{'df', 'dw', 'dh'}"
0,0,80.62,9,129,"[4.58, 63.37, 11.0]",[102],"{'df', 'dw', 'dh'}"
0,0,86.62,10,126,"[4.58, 63.37, 14.0]",[134],"{'df', 'dw', 'dh'}"
0,0,92.62,11,123,"[4.58, 63.37, 17.0]",[166],"{'df', 'dw', 'dh'}"
0,0,98.62,12,120,"[4.58, 63.37, 20.0]",[198],"{'df', 'dw', 'dh'}"
0,0,105.91000000000001,13,121,"[11.44, 63.37, 20.0]",[197],"{'df', 'dw', 'dh'}"
0,0,111.91000000000001,14,124,"[11.44, 63.37, 17.0]",[165],"{'df', 'dw', 'dh'}"
0,0,117.91000000000001,15,127,"[11.44, 63.37, 14.0]",[133],"{'df', 'dw', 'dh'}"
0,0,123.91000000000001,16,130,"[11.44, 63.37, 11.0]",[101],"{'df', 'dw', 'dh'}"
0,0,131.10000000000002,17,131,"[18.02, 63.37, 11.0]",[100],"{'df', 'dw', 'dh'}"
0,0,137.10000000000002,18,128,"[18.02, 63.37, 14.0]",[132],"{'df', 'dw', 'dh'}"
0,0,143.10000000000002,19,125,"[18.02, 63.37, 17.0]",[164],"{'df', 'dw', 'dh'}"
0,0,149.10000000000002,20,122,"[18.02, 63.37, 20.0]",[196],"{'df', 'dw', 'dh'}"
0,0,160.10000000000002,21,104,"[18.02, 63.37, 38.0]",[388],"{'df', 'dw', 'dh'}"
0,0,166.10000000000002,22,101,"[18.02, 63.37, 41.0]",[420],"{'df', 'dw', 'dh'}"
0,0,172.10000000000002,23,98,"[18.02, 63.37, 44.0]",[452],"{'df', 'dw', 'dh'}"
0,0,178.10000000000002,24,95,"[18.02, 63.37, 47.0]",[484],"{'df', 'dw', 'dh'}"
0,0,185.29000000000002,25,94,"[11.44, 63.37, 47.0]",[485],"{'df', 'dw', 'dh'}"
0,0,191.29000000000002,26,97,"[11.44, 63.37, 44.0]",[453],"{'df', 'dw', 'dh'}"
0,0,197.29000000000002,27,100,"[11.44, 63.37, 41.0]",[421],"{'df', 'dw', 'dh'}"
0,0,203.29000000000002,28,103,"[11.44, 63.37, 38.0]",[389],"{'df', 'dw', 'dh'}"
0,0,210.58,29,102,"[4.58, 63.37, 38.0]",[390],"{'df', 'dw', 'dh'}"
0,0,216.58,30,99,"[4.58, 63.37, 41.0]",[422],"{'df', 'dw', 'dh'}"
0,0,222.58,31,96,"[4.58, 63.37, 44.0]",[454],"{'df', 'dw', 'dh'}"
0,0,228.58,32,93,"[4.58, 63.37, 47.0]",[486],"{'df', 'dw', 'dh'}"
0,0,237.58,33,81,"[4.58, 63.37, 59.0]",[614],"{'df', 'dw', 'dh'}"
0,0,244.87,34,82,"[11.44, 63.37, 59.0]",[613],"{'df', 'dw', 'dh'}"
0,0,252.06,35,83,"[18.02, 63.37, 59.0]",[612],"{'df', 'dw', 'dh'}"
0,0,264.22,36,4,"[37.81, 56.22, 59.0]",[611],"{'df', 'dw', 'dh'}"
0,0,271.95000000000005,37,3,"[37.81, 48.02, 59.0]",[610],"{'df', 'dw', 'dh'}"
0,0,279.14000000000004,38,2,"[37.81, 41.44, 59.0]",[609],"{'df', 'dw', 'dh'}"
0,0,286.43000000000006,39,1,"[37.81, 34.58, 59.0]",[608],"{'df', 'dw', 'dh'}"
0,0,294.46000000000004,40,561,"[45.97, 30.56, 59.0]",[639],"{'df', 'dw', 'dh'}"
0,0,301.73,41,562,"[52.79, 30.56, 59.0]",[638],"{'df', 'dw', 'dh'}"
0,1,11.53,1,465,"[6.16, -5.0, 11.0]",[112],"{'df', 'dw', 'dh'}"
0,1,17.53,2,456,"[6.16, -5.0, 14.0]",[144],"{'df', 'dw', 'dh'}"
0,1,23.53,3,447,"[6.16, -5.0, 17.0]",[176],"{'df', 'dw', 'dh'}"
0,1,29.53,4,438,"[6.16, -5.0, 20.0]",[208],"{'df', 'dw', 'dh'}"
0,1,36.69,5,439,"[12.64, -5.0, 20.0]",[209],"{'df', 'dw', 'dh'}"
0,1,42.69,6,448,"[12.64, -5.0, 17.0]",[177],"{'df', 'dw', 'dh'}"
0,1,48.69,7,457,"[12.64, -5.0, 14.0]",[145],"{'df', 'dw', 'dh'}"
0,1,54.69,8,466,"[12.64, -5.0, 11.0]",[113],"{'df', 'dw', 'dh'}"
0,1,61.9,9,467,"[19.26, -5.0, 11.0]",[114],"{'df', 'dw', 'dh'}"
0,1,67.9,10,458,"[19.26, -5.0, 14.0]",[146],"{'df', 'dw', 'dh'}"
0,1,73.9,11,449,"[19.26, -5.0, 17.0]",[178],"{'df', 'dw', 'dh'}"
0,1,79.9,12,440,"[19.26, -5.0, 20.0]",[210],"{'df', 'dw', 'dh'}"
0,1,87.08000000000001,13,441,"[25.8, -5.0, 20.0]",[211],"{'df', 'dw', 'dh'}"
0,1,93.08000000000001,14,450,"[25.8, -5.0, 17.0]",[179],"{'df', 'dw', 'dh'}"
0,1,99.08000000000001,15,459,"[25.8, -5.0, 14.0]",[147],"{'df', 'dw', 'dh'}"
0,1,105.08000000000001,16,468,"[25.8, -5.0, 11.0]",[115],"{'df', 'dw', 'dh'}"
0,1,112.34000000000002,17,469,"[32.57, -5.0, 11.0]",[116],"{'df', 'dw', 'dh'}"
0,1,118.34000000000002,18,460,"[32.57, -5.0, 14.0]",[148],"{'df', 'dw', 'dh'}"
0,1,124.34000000000002,19,451,"[32.57, -5.0, 17.0]",[180],"{'df', 'dw', 'dh'}"
0,1,130.34000000000003,20,442,"[32.57, -5.0, 20.0]",[212],"{'df', 'dw', 'dh'}"
0,1,137.58000000000004,21,443,"[39.29, -5.0, 20.0]",[213],"{'df', 'dw', 'dh'}"
0,1,143.58000000000004,22,452,"[39.29, -5.0, 17.0]",[181],"{'df', 'dw', 'dh'}"
0,1,149.58000000000004,23,461,"[39.29, -5.0, 14.0]",[149],"{'df', 'dw', 'dh'}"
0,1,155.58000000000004,24,470,"[39.29, -5.0, 11.0]",[117],"{'df', 'dw', 'dh'}"
0,1,162.87000000000003,25,471,"[46.16, -5.0, 11.0]",[118],"{'df', 'dw', 'dh'}"
0,1,168.87000000000003,26,462,"[46.16, -5.0, 14.0]",[150],"{'df', 'dw', 'dh'}"
0,1,174.87000000000003,27,453,"[46.16, -5.0, 17.0]",[182],"{'df', 'dw', 'dh'}"
0,1,180.87000000000003,28,444,"[46.16, -5.0, 20.0]",[214],"{'df', 'dw', 'dh'}"
0,1,188.11000000000004,29,445,"[52.89, -5.0, 20.0]",[215],"{'df', 'dw', 'dh'}"
0,1,194.11000000000004,30,454,"[52.89, -5.0, 17.0]",[183],"{'df', 'dw', 'dh'}"
0,1,200.11000000000004,31,463,"[52.89, -5.0, 14.0]",[151],"{'df', 'dw', 'dh'}"
0,1,206.11000000000004,32,472,"[52.89, -5.0, 11.0]",[119],"{'df', 'dw', 'dh'}"
0,1,213.99000000000004,33,473,"[61.52, -5.0, 11.0]",[120],"{'df', 'dw', 'dh'}"
0,1,219.99000000000004,34,464,"[61.52, -5.0, 14.0]",[152],"{'df', 'dw', 'dh'}"
0,1,225.99000000000004,35,455,"[61.52, -5.0, 17.0]",[184],"{'df', 'dw', 'dh'}"
0,1,231.99000000000004,36,446,"[61.52, -5.0, 20.0]",[216],"{'df', 'dw', 'dh'}"
0,1,242.99000000000004,37,392,"[61.52, -5.0, 38.0]",[408],"{'df', 'dw', 'dh'}"
0,1,248.99000000000004,38,383,"[61.52, -5.0, 41.0]",[440],"{'df', 'dw', 'dh'}"
0,1,254.99000000000004,39,374,"[61.52, -5.0, 44.0]",[472],"{'df', 'dw', 'dh'}"
0,1,260.99,40,365,"[61.52, -5.0, 47.0]",[504],"{'df', 'dw', 'dh'}"
0,1,268.87,41,364,"[52.89, -5.0, 47.0]",[503],"{'df', 'dw', 'dh'}"
0,1,274.87,42,373,"[52.89, -5.0, 44.0]",[471],"{'df', 'dw', 'dh'}"
0,1,280.87,43,382,"[52.89, -5.0, 41.0]",[439],"{'df', 'dw', 'dh'}"
0,1,286.87,44,391,"[52.89, -5.0, 38.0]",[407],"{'df', 'dw', 'dh'}"
0,1,294.11,45,390,"[46.16, -5.0, 38.0]",[406],"{'df', 'dw', 'dh'}"
0,1,300.11,46,381,"[46.16, -5.0, 41.0]",[438],"{'df', 'dw', 'dh'}"
