t/ f/ h/ w/ f_s/ h_s
0/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
2/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]
3/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]
4/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]
5/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0]
6/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 1, 0, 1, 0, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0]
7/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]
8/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 3, 2, 3, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]
9/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 3, 2, 3, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 3, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1]
