10 {}
11 {'human': [(189, 0.6), (141, 0.6), (138, 0.6)]}
12 {'fire': [(137, 0.6)], 'human': [(138, 0.6), (141, 0.6), (141, 1)]}
13 {'human': [(138, 1)], 'fire': [(137, 1)], 'window': [(137, 1), (169, 1)]}
14 {'human': [(189, 0.6), (138, 0.6), (138, 1), (141, 1)], 'fire': [(137, 0.6)]}
15 {}
16 {}
17 {'human': [(189, 1)]}
18 {'human': [(189, 0.6), (189, 1), (141, 1)], 'fire': [(169, 1)], 'window': [(169, 1)]}
19 {'window': [(186, 1), (137, 1), (169, 1)], 'human': [(138, 1)], 'fire': [(137, 1), (169, 1)]}
20 {'human': [(189, 1), (138, 1)], 'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
21 {'human': [(138, 1), (141, 1)]}
22 {}
23 {'human': [(189, 0.6)]}
24 {'human': [(195, 0.6), (189, 1)]}
25 {'window': [(186, 1)], 'fire': [(137, 0.6), (169, 0.6)], 'human': [(138, 0.6)]}
26 {'human': [(189, 1), (141, 1)]}
27 {'human': [(189, 0.6)], 'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)]}
28 {'human': [(138, 1), (141, 1)]}
29 {'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)]}
30 {'human': [(141, 1), (141, 0.6)]}
31 {'human': [(189, 0.6)]}
32 {'human': [(189, 1)]}
33 {'window': [(186, 1), (137, 1), (169, 1)], 'fire': [(137, 0.6), (169, 0.6), (137, 1), (169, 1)], 'human': [(138, 0.6), (138, 1)]}
34 {'human': [(189, 1), (141, 1)]}
35 {'human': [(189, 0.6), (138, 1)], 'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
36 {'human': [(138, 1)], 'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
37 {'human': [(138, 1), (141, 1)]}
38 {'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
39 {'human': [(189, 0.6), (138, 1), (141, 1)]}
40 {'human': [(189, 1), (138, 1)], 'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
41 {'window': [(186, 1), (137, 1), (169, 1)], 'fire': [(137, 1), (169, 1)], 'human': [(138, 1)]}
42 {'human': [(189, 1), (138, 1)], 'fire': [(201, 1), (169, 1), (137, 1)], 'window': [(169, 1), (137, 1)]}
43 {'human': [(189, 0.6)], 'fire': [(169, 1)], 'window': [(169, 1)]}
