10 {}
11 {'human': [(189, 0.6), (141, 0.6), (138, 0.6)]}
12 {'fire': [(137, 0.6)], 'human': [(138, 0.6), (141, 0.6)]}
13 {'human': [(138, 1), (141, 1)]}
14 {'human': [(189, 0.6), (138, 0.6)], 'fire': [(137, 0.6)]}
15 {'window': [(169, 1), (137, 1)], 'fire': [(137, 1)]}
16 {'window': [(186, 1)], 'human': [(141, 1)]}
17 {}
18 {'human': [(189, 0.6)]}
19 {'human': [(138, 1)]}
20 {'window': [(186, 1), (137, 1), (169, 1)], 'fire': [(137, 1), (169, 1)]}
21 {'human': [(141, 1)]}
22 {'human': [(189, 0.6), (195, 0.6)]}
23 {}
24 {'window': [(186, 1)]}
25 {'fire': [(169, 1)], 'window': [(169, 1)]}
26 {}
27 {'human': [(189, 0.6), (138, 1)], 'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
28 {'human': [(141, 1), (138, 1)]}
29 {'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
30 {'human': [(189, 0.6)]}
31 {}
32 {'window': [(186, 1)]}
33 {}
34 {'human': [(138, 1)], 'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
35 {'human': [(138, 1), (141, 1)]}
36 {'human': [(189, 0.6)], 'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)]}
37 {'human': [(138, 1)], 'fire': [(169, 1)], 'window': [(169, 1)]}
38 {'human': [(189, 0.6)]}
39 {}
40 {}
41 {}
42 {'fire': [(201, 1)], 'human': [(141, 1)]}
43 {}
