t/ f/ h/ w
0/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
1/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
2/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
3/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
4/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
5/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
6/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
7/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
8/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
9/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
10/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
11/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
12/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
13/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
14/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
15/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
16/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 87, 17, 37, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
17/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 17, 87, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
18/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 17, 87, 151, 185, 195, 320, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
19/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 328, 362, 9, 199, 357, 327, 46, 338, 17, 87, 151, 185, 195, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 122, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 287, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
20/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 124, 186, 103, 261, 371, 90, 120, 362, 9, 199, 357, 46, 338, 17, 87, 151, 185, 195, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
21/ [221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 186, 103, 261, 90, 120, 362, 9, 199, 357, 46, 338, 87, 185, 151, 195, 295, 138, 98, 324, 308, 18, 36, 84, 142, 229, 67, 41, 255, 88, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
22/ [220, 221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 186, 103, 261, 90, 120, 362, 9, 199, 357, 46, 338, 87, 185, 151, 195, 295, 138, 98, 324, 308, 84, 36, 142, 229, 67, 41, 255, 88, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 145, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
23/ [220, 221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 186, 103, 261, 90, 120, 9, 199, 357, 46, 338, 87, 185, 151, 195, 295, 138, 98, 324, 308, 84, 36, 142, 229, 67, 41, 255, 88, 78, 218, 282, 294, 315, 54, 92, 118, 170, 330, 85, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
24/ [220, 221, 90]/ [169, 93, 245, 82, 198, 146, 354, 310, 65, 117, 38, 10, 186, 103, 261, 90, 120, 9, 199, 357, 46, 338, 87, 185, 151, 195, 295, 138, 98, 324, 308, 84, 36, 142, 229, 67, 41, 255, 88, 78, 218, 282, 294, 315, 54, 92, 118, 170, 85, 311, 104, 154, 114, 212, 318, 274, 381, 39, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
25/ [220, 221, 90]/ [169, 93, 245, 82, 198, 354, 310, 65, 117, 186, 10, 103, 90, 120, 9, 199, 357, 46, 338, 87, 185, 151, 195, 295, 138, 98, 324, 84, 36, 142, 229, 67, 41, 255, 88, 78, 218, 282, 294, 315, 54, 92, 118, 170, 85, 311, 104, 154, 212, 381, 318, 274, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
26/ [220, 253, 221, 90]/ [169, 93, 245, 82, 198, 354, 310, 65, 117, 186, 10, 103, 90, 120, 9, 199, 357, 46, 338, 87, 185, 151, 195, 295, 98, 324, 84, 36, 142, 229, 67, 41, 255, 88, 78, 218, 282, 294, 54, 92, 118, 170, 85, 311, 104, 212, 381, 318, 274, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
27/ [220, 253, 221, 90]/ [169, 93, 245, 82, 198, 354, 310, 65, 117, 10, 103, 90, 9, 199, 357, 46, 87, 185, 151, 195, 98, 324, 84, 36, 142, 229, 67, 41, 255, 88, 78, 218, 282, 54, 92, 118, 85, 311, 104, 212, 381, 318, 274, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
28/ [220, 253, 221, 90]/ [169, 93, 245, 82, 198, 354, 310, 65, 117, 10, 103, 90, 9, 199, 357, 46, 87, 185, 151, 195, 324, 84, 36, 142, 229, 67, 41, 255, 88, 78, 218, 282, 54, 92, 118, 85, 311, 104, 212, 318, 274, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
29/ [220, 253, 221, 90]/ [169, 93, 245, 82, 198, 354, 310, 65, 117, 10, 103, 90, 9, 199, 357, 87, 185, 195, 324, 84, 36, 142, 229, 67, 41, 255, 88, 78, 218, 282, 54, 92, 118, 85, 311, 104, 212, 274, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
30/ [220, 253, 221, 90]/ [169, 93, 245, 82, 198, 354, 65, 117, 10, 103, 90, 9, 199, 357, 87, 185, 195, 324, 84, 36, 229, 67, 255, 88, 78, 218, 282, 54, 92, 85, 311, 104, 212, 274, 79]/ [227, 245, 337, 82, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
31/ [221, 220, 222, 253, 91, 90]/ [93, 245, 82, 198, 354, 65, 117, 90, 199, 357, 87, 195, 324, 84, 36, 229, 67, 255, 88, 218, 78, 54, 92, 85, 311, 212, 274, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
32/ [221, 220, 222, 253, 91, 90]/ [93, 245, 82, 198, 354, 65, 117, 90, 199, 87, 195, 324, 84, 229, 67, 255, 88, 218, 78, 54, 92, 85, 212, 274, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
33/ [221, 220, 222, 253, 91, 90]/ [93, 245, 82, 198, 354, 65, 117, 90, 199, 87, 195, 324, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 274, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
34/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 354, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 274, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
35/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 274, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
36/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
37/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
38/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
39/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
40/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 222, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
41/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 222, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
42/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 222, 67, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
43/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 222, 67, 122, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
44/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 222, 67, 122, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
45/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 222, 67, 122, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
46/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 222, 67, 122, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
47/ [221, 220, 222, 122, 253, 91, 90]/ [93, 245, 82, 198, 65, 117, 90, 199, 87, 195, 84, 229, 67, 255, 88, 218, 78, 92, 85, 212, 79]/ [227, 245, 337, 82, 220, 16, 140, 376, 253, 110, 206, 90, 57, 99, 221, 48, 94, 276, 347, 160, 66, 342, 91, 365, 196, 302, 308, 225, 203, 45, 361, 84, 222, 67, 122, 218, 364, 211, 108, 26, 59, 6, 62, 322] 
