10 {}
11 {'human': [(189, 0.6), (141, 0.6), (138, 0.6)]}
12 {'fire': [(137, 0.6)], 'human': [(138, 0.6), (141, 0.6), (141, 1)]}
13 {'human': [(138, 1)], 'fire': [(137, 1)], 'window': [(137, 1), (169, 1)]}
14 {'human': [(189, 0.6)]}
15 {}
16 {}
17 {'human': [(141, 1), (138, 1)]}
18 {'human': [(189, 0.6)]}
19 {'human': [(138, 1)], 'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
20 {'human': [(141, 1)]}
21 {}
22 {'human': [(189, 0.6), (195, 0.6)]}
23 {}
24 {'window': [(186, 1), (169, 1), (137, 1)], 'fire': [(169, 1), (137, 1)], 'human': [(138, 1)]}
25 {'human': [(141, 1)]}
26 {'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)]}
27 {'human': [(189, 0.6), (138, 1), (141, 1)], 'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)]}
28 {}
29 {'window': [(186, 1)]}
30 {'human': [(189, 1)]}
31 {'human': [(189, 0.6), (138, 1)], 'fire': [(137, 1)], 'window': [(137, 1)]}
32 {'window': [(186, 1), (169, 1)], 'fire': [(169, 1)]}
33 {'human': [(141, 1)]}
34 {}
35 {'human': [(189, 0.6), (141, 1), (141, 0.6), (138, 1)]}
36 {'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)], 'human': [(138, 1)]}
37 {'human': [(189, 1), (138, 1), (141, 1)], 'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)]}
38 {'human': [(189, 0.6)], 'fire': [(137, 1)], 'window': [(137, 1)]}
39 {'human': [(189, 1), (138, 1), (141, 1)], 'fire': [(137, 1)], 'window': [(137, 1)]}
40 {'window': [(186, 1)]}
41 {}
42 {'human': [(189, 1), (141, 1)]}
43 {'human': [(138, 1)]}
