10 {}
11 {'human': [(189, 0.6), (141, 0.6), (138, 0.6)]}
12 {'fire': [(137, 0.6)], 'human': [(138, 0.6), (141, 0.6)]}
13 {'human': [(138, 1), (141, 1)]}
14 {'human': [(189, 0.6), (138, 0.6)], 'fire': [(137, 0.6)]}
15 {'window': [(169, 1), (137, 1)], 'fire': [(137, 1)]}
16 {'window': [(186, 1)], 'human': [(141, 1)]}
17 {}
18 {'human': [(189, 0.6)]}
19 {'fire': [(137, 0.6), (169, 0.6), (137, 1)], 'human': [(138, 0.6), (138, 1)], 'window': [(137, 1)]}
20 {'window': [(186, 1), (169, 1)], 'fire': [(169, 1)], 'human': [(138, 1), (141, 1)]}
21 {'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)], 'human': [(138, 1)]}
22 {'human': [(189, 0.6), (195, 0.6)]}
23 {}
24 {'window': [(186, 1)]}
25 {}
26 {}
27 {'human': [(189, 0.6)]}
28 {'fire': [(137, 0.6), (169, 0.6), (137, 1), (169, 1)], 'human': [(138, 0.6), (138, 1)], 'window': [(137, 1), (169, 1)]}
29 {'human': [(141, 1), (141, 0.6)]}
30 {'human': [(189, 0.6)]}
31 {'human': [(141, 1), (138, 1)], 'fire': [(137, 1), (169, 1)], 'window': [(137, 1), (169, 1)]}
32 {'window': [(186, 1)], 'human': [(138, 1)]}
33 {'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)], 'human': [(138, 1), (141, 1)]}
34 {}
35 {}
36 {'human': [(189, 0.6)]}
37 {'fire': [(137, 0.6), (169, 0.6)], 'human': [(138, 0.6), (138, 1)]}
38 {'human': [(189, 0.6), (141, 1)]}
39 {'human': [(138, 1)], 'fire': [(169, 1)], 'window': [(169, 1)]}
40 {'fire': [(137, 1)], 'window': [(137, 1)], 'human': [(138, 1), (141, 1)]}
41 {'human': [(138, 1)], 'fire': [(169, 1), (137, 1)], 'window': [(169, 1), (137, 1)]}
42 {'fire': [(137, 1)], 'window': [(137, 1)], 'human': [(141, 1)]}
43 {}
