22 fire 137 1
22 fire 169 1
22 window 137 1
22 window 169 1
23 human 195 1
23 human 141 1
24 fire 137 0.6
24 fire 169 0.6
24 human 138 0.6
25 human 195 0.6
25 human 189 0.6
27 human 189 1
29 fire 137 0.6
29 fire 169 0.6
29 human 138 0.6
31 fire 169 1
31 fire 137 1
31 window 169 1
31 window 137 1
31 human 138 1
32 human 138 0.6
33 fire 169 1
33 fire 137 1
33 window 169 1
33 window 137 1
33 human 138 1
34 window 186 1
34 human 138 0.6
34 human 189 0.6
35 human 141 0.6
37 fire 137 0.6
37 fire 169 0.6
37 human 138 0.6
40 fire 137 0.6
40 fire 169 0.6
40 human 138 0.6
41 human 138 0.6
41 human 141 0.6
42 human 138 0.6
42 human 189 0.6
42 fire 137 0.6
42 fire 169 0.6
43 human 138 0.6
43 human 141 0.6
43 fire 137 0.6
43 fire 169 0.6
43 fire 201 1
44 fire 201 0.6
45 fire 201 0.6
46 fire 201 0.6
47 fire 201 0.6
48 fire 201 0.6
49 fire 201 0.6
11 human 138 0.6
11 human 189 0.6
11 human 141 0.6
12 fire 137 0.6
12 human 138 0.6
12 human 141 1
13 human 138 1
13 fire 137 1
13 window 137 1
13 window 169 1
14 human 138 1
14 fire 137 1
14 window 137 1
14 window 169 1
15 human 189 0.6
15 human 141 1
15 window 186 1
16 human 189 1
18 human 189 0.6
21 window 186 1
22 human 138 1
22 human 189 1
22 fire 137 1
22 fire 169 1
22 window 137 1
22 window 169 1
23 human 195 1
23 human 141 1
24 fire 137 0.6
24 fire 169 0.6
24 human 138 0.6
25 human 195 0.6
25 human 189 0.6
27 human 189 1
29 fire 137 0.6
29 fire 169 0.6
29 human 138 0.6
31 fire 169 1
31 fire 137 1
31 window 169 1
31 window 137 1
31 human 138 1
32 human 138 0.6
33 fire 169 1
33 fire 137 1
33 window 169 1
33 window 137 1
33 human 138 1
34 window 186 1
34 human 138 0.6
34 human 189 0.6
35 human 141 0.6
37 fire 137 0.6
37 fire 169 0.6
37 human 138 0.6
40 fire 137 0.6
40 fire 169 0.6
40 human 138 0.6
41 human 138 0.6
41 human 141 0.6
42 human 138 0.6
42 human 189 0.6
42 fire 137 0.6
42 fire 169 0.6
43 human 138 0.6
43 human 141 0.6
43 fire 137 0.6
43 fire 169 0.6
43 fire 201 1
44 fire 201 0.6
45 fire 201 0.6
46 fire 201 0.6
47 fire 201 0.6
48 fire 201 0.6
49 fire 201 0.6
11 human 138 0.6
11 human 189 0.6
11 human 141 0.6
12 fire 137 0.6
12 human 138 0.6
12 human 141 1
13 human 138 1
13 fire 137 1
13 window 137 1
13 window 169 1
14 human 138 1
14 fire 137 1
14 window 137 1
14 window 169 1
15 human 189 0.6
15 human 141 1
15 window 186 1
16 human 189 1
18 human 189 0.6
21 window 186 1
22 human 138 1
22 human 189 1
22 fire 137 1
22 fire 169 1
22 window 137 1
22 window 169 1
23 human 195 1
23 human 141 1
24 fire 137 0.6
24 fire 169 0.6
24 human 138 0.6
25 human 195 0.6
25 human 189 0.6
27 human 189 1
29 fire 137 0.6
29 fire 169 0.6
29 human 138 0.6
31 fire 169 1
31 fire 137 1
31 window 169 1
31 window 137 1
31 human 138 1
32 human 138 0.6
33 fire 169 1
33 fire 137 1
33 window 169 1
33 window 137 1
33 human 138 1
34 window 186 1
34 human 138 0.6
34 human 189 0.6
35 human 141 0.6
37 fire 137 0.6
37 fire 169 0.6
37 human 138 0.6
40 fire 137 0.6
40 fire 169 0.6
40 human 138 0.6
41 human 138 0.6
41 human 141 0.6
42 human 138 0.6
42 human 189 0.6
42 fire 137 0.6
