v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix fix_v angle floor
3.53 24.32 1.1 3.53 24.32 2.9 3.53 20.87 1.1 3.53 20.87 2.9 4 x 3.53 180 1
3.53 24.32 4.1 3.53 24.32 5.9 3.53 20.87 4.1 3.53 20.87 5.9 4 x 3.53 180 2
3.53 24.32 7.1 3.53 24.32 8.9 3.53 20.87 7.1 3.53 20.87 8.9 4 x 3.53 180 3
3.53 24.32 10.1 3.53 24.32 11.9 3.53 20.87 10.1 3.53 20.87 11.9 4 x 3.53 180 4
3.53 24.32 13.1 3.53 24.32 14.9 3.53 20.87 13.1 3.53 20.87 14.9 4 x 3.53 180 5
3.53 24.32 16.1 3.53 24.32 17.9 3.53 20.87 16.1 3.53 20.87 17.9 4 x 3.53 180 6
3.53 24.32 19.1 3.53 24.32 20.9 3.53 20.87 19.1 3.53 20.87 20.9 4 x 3.53 180 7
3.53 24.32 22.1 3.53 24.32 23.9 3.53 20.87 22.1 3.53 20.87 23.9 4 x 3.53 180 8
3.53 24.32 25.1 3.53 24.32 26.9 3.53 20.87 25.1 3.53 20.87 26.9 4 x 3.53 180 9
3.53 24.32 28.1 3.53 24.32 29.9 3.53 20.87 28.1 3.53 20.87 29.9 4 x 3.53 180 10
3.53 24.32 31.1 3.53 24.32 32.9 3.53 20.87 31.1 3.53 20.87 32.9 4 x 3.53 180 11
3.53 24.32 34.1 3.53 24.32 35.9 3.53 20.87 34.1 3.53 20.87 35.9 4 x 3.53 180 12
3.53 19.46 1.1 3.53 19.46 2.9 3.53 17.77 1.1 3.53 17.77 2.9 4 x 3.53 180 1
3.53 19.46 4.1 3.53 19.46 5.9 3.53 17.77 4.1 3.53 17.77 5.9 4 x 3.53 180 2
3.53 19.46 7.1 3.53 19.46 8.9 3.53 17.77 7.1 3.53 17.77 8.9 4 x 3.53 180 3
3.53 19.46 10.1 3.53 19.46 11.9 3.53 17.77 10.1 3.53 17.77 11.9 4 x 3.53 180 4
3.53 19.46 13.1 3.53 19.46 14.9 3.53 17.77 13.1 3.53 17.77 14.9 4 x 3.53 180 5
3.53 19.46 16.1 3.53 19.46 17.9 3.53 17.77 16.1 3.53 17.77 17.9 4 x 3.53 180 6
3.53 19.46 19.1 3.53 19.46 20.9 3.53 17.77 19.1 3.53 17.77 20.9 4 x 3.53 180 7
3.53 19.46 22.1 3.53 19.46 23.9 3.53 17.77 22.1 3.53 17.77 23.9 4 x 3.53 180 8
3.53 19.46 25.1 3.53 19.46 26.9 3.53 17.77 25.1 3.53 17.77 26.9 4 x 3.53 180 9
3.53 19.46 28.1 3.53 19.46 29.9 3.53 17.77 28.1 3.53 17.77 29.9 4 x 3.53 180 10
3.53 19.46 31.1 3.53 19.46 32.9 3.53 17.77 31.1 3.53 17.77 32.9 4 x 3.53 180 11
3.53 19.46 34.1 3.53 19.46 35.9 3.53 17.77 34.1 3.53 17.77 35.9 4 x 3.53 180 12
3.53 15.17 1.1 3.53 15.17 2.9 3.53 11.92 1.1 3.53 11.92 2.9 4 x 3.53 180 1
3.53 15.17 4.1 3.53 15.17 5.9 3.53 11.92 4.1 3.53 11.92 5.9 4 x 3.53 180 2
3.53 15.17 7.1 3.53 15.17 8.9 3.53 11.92 7.1 3.53 11.92 8.9 4 x 3.53 180 3
3.53 15.17 10.1 3.53 15.17 11.9 3.53 11.92 10.1 3.53 11.92 11.9 4 x 3.53 180 4
3.53 15.17 13.1 3.53 15.17 14.9 3.53 11.92 13.1 3.53 11.92 14.9 4 x 3.53 180 5
3.53 15.17 16.1 3.53 15.17 17.9 3.53 11.92 16.1 3.53 11.92 17.9 4 x 3.53 180 6
3.53 15.17 19.1 3.53 15.17 20.9 3.53 11.92 19.1 3.53 11.92 20.9 4 x 3.53 180 7
3.53 15.17 22.1 3.53 15.17 23.9 3.53 11.92 22.1 3.53 11.92 23.9 4 x 3.53 180 8
3.53 15.17 25.1 3.53 15.17 26.9 3.53 11.92 25.1 3.53 11.92 26.9 4 x 3.53 180 9
3.53 15.17 28.1 3.53 15.17 29.9 3.53 11.92 28.1 3.53 11.92 29.9 4 x 3.53 180 10
3.53 15.17 31.1 3.53 15.17 32.9 3.53 11.92 31.1 3.53 11.92 32.9 4 x 3.53 180 11
3.53 15.17 34.1 3.53 15.17 35.9 3.53 11.92 34.1 3.53 11.92 35.9 4 x 3.53 180 12
3.53 8.11 1.1 3.53 8.11 2.9 3.53 5.34 1.1 3.53 5.34 2.9 4 x 3.53 180 1
3.53 8.11 4.1 3.53 8.11 5.9 3.53 5.34 4.1 3.53 5.34 5.9 4 x 3.53 180 2
3.53 8.11 7.1 3.53 8.11 8.9 3.53 5.34 7.1 3.53 5.34 8.9 4 x 3.53 180 3
3.53 8.11 10.1 3.53 8.11 11.9 3.53 5.34 10.1 3.53 5.34 11.9 4 x 3.53 180 4
3.53 8.11 13.1 3.53 8.11 14.9 3.53 5.34 13.1 3.53 5.34 14.9 4 x 3.53 180 5
3.53 8.11 16.1 3.53 8.11 17.9 3.53 5.34 16.1 3.53 5.34 17.9 4 x 3.53 180 6
3.53 8.11 19.1 3.53 8.11 20.9 3.53 5.34 19.1 3.53 5.34 20.9 4 x 3.53 180 7
3.53 8.11 22.1 3.53 8.11 23.9 3.53 5.34 22.1 3.53 5.34 23.9 4 x 3.53 180 8
3.53 8.11 25.1 3.53 8.11 26.9 3.53 5.34 25.1 3.53 5.34 26.9 4 x 3.53 180 9
3.53 8.11 28.1 3.53 8.11 29.9 3.53 5.34 28.1 3.53 5.34 29.9 4 x 3.53 180 10
3.53 8.11 31.1 3.53 8.11 32.9 3.53 5.34 31.1 3.53 5.34 32.9 4 x 3.53 180 11
3.53 8.11 34.1 3.53 8.11 35.9 3.53 5.34 34.1 3.53 5.34 35.9 4 x 3.53 180 12
