v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix fix_v angle floor
31.09 0.0 13.1 31.09 0.0 14.9 34.05 0.0 13.1 34.05 0.0 14.9 5 y 0.0 270 5
31.09 0.0 16.1 31.09 0.0 17.9 34.05 0.0 16.1 34.05 0.0 17.9 5 y 0.0 270 6
31.09 0.0 19.1 31.09 0.0 20.9 34.05 0.0 19.1 34.05 0.0 20.9 5 y 0.0 270 7
31.09 0.0 22.1 31.09 0.0 23.9 34.05 0.0 22.1 34.05 0.0 23.9 5 y 0.0 270 8
31.09 0.0 25.1 31.09 0.0 26.9 34.05 0.0 25.1 34.05 0.0 26.9 5 y 0.0 270 9
31.09 0.0 28.1 31.09 0.0 29.9 34.05 0.0 28.1 34.05 0.0 29.9 5 y 0.0 270 10
31.09 0.0 31.1 31.09 0.0 32.9 34.05 0.0 31.1 34.05 0.0 32.9 5 y 0.0 270 11
31.09 0.0 34.1 31.09 0.0 35.9 34.05 0.0 34.1 34.05 0.0 35.9 5 y 0.0 270 12
37.86 0.0 1.1 37.86 0.0 2.9 40.72 0.0 1.1 40.72 0.0 2.9 5 y 0.0 270 1
37.86 0.0 4.1 37.86 0.0 5.9 40.72 0.0 4.1 40.72 0.0 5.9 5 y 0.0 270 2
37.86 0.0 7.1 37.86 0.0 8.9 40.72 0.0 7.1 40.72 0.0 8.9 5 y 0.0 270 3
37.86 0.0 10.1 37.86 0.0 11.9 40.72 0.0 10.1 40.72 0.0 11.9 5 y 0.0 270 4
37.86 0.0 13.1 37.86 0.0 14.9 40.72 0.0 13.1 40.72 0.0 14.9 5 y 0.0 270 5
37.86 0.0 16.1 37.86 0.0 17.9 40.72 0.0 16.1 40.72 0.0 17.9 5 y 0.0 270 6
37.86 0.0 19.1 37.86 0.0 20.9 40.72 0.0 19.1 40.72 0.0 20.9 5 y 0.0 270 7
37.86 0.0 22.1 37.86 0.0 23.9 40.72 0.0 22.1 40.72 0.0 23.9 5 y 0.0 270 8
37.86 0.0 25.1 37.86 0.0 26.9 40.72 0.0 25.1 40.72 0.0 26.9 5 y 0.0 270 9
37.86 0.0 28.1 37.86 0.0 29.9 40.72 0.0 28.1 40.72 0.0 29.9 5 y 0.0 270 10
37.86 0.0 31.1 37.86 0.0 32.9 40.72 0.0 31.1 40.72 0.0 32.9 5 y 0.0 270 11
37.86 0.0 34.1 37.86 0.0 35.9 40.72 0.0 34.1 40.72 0.0 35.9 5 y 0.0 270 12
44.82 0.0 1.1 44.82 0.0 2.9 47.49 0.0 1.1 47.49 0.0 2.9 5 y 0.0 270 1
44.82 0.0 4.1 44.82 0.0 5.9 47.49 0.0 4.1 47.49 0.0 5.9 5 y 0.0 270 2
44.82 0.0 7.1 44.82 0.0 8.9 47.49 0.0 7.1 47.49 0.0 8.9 5 y 0.0 270 3
44.82 0.0 10.1 44.82 0.0 11.9 47.49 0.0 10.1 47.49 0.0 11.9 5 y 0.0 270 4
44.82 0.0 13.1 44.82 0.0 14.9 47.49 0.0 13.1 47.49 0.0 14.9 5 y 0.0 270 5
44.82 0.0 16.1 44.82 0.0 17.9 47.49 0.0 16.1 47.49 0.0 17.9 5 y 0.0 270 6
44.82 0.0 19.1 44.82 0.0 20.9 47.49 0.0 19.1 47.49 0.0 20.9 5 y 0.0 270 7
44.82 0.0 22.1 44.82 0.0 23.9 47.49 0.0 22.1 47.49 0.0 23.9 5 y 0.0 270 8
44.82 0.0 25.1 44.82 0.0 26.9 47.49 0.0 25.1 47.49 0.0 26.9 5 y 0.0 270 9
44.82 0.0 28.1 44.82 0.0 29.9 47.49 0.0 28.1 47.49 0.0 29.9 5 y 0.0 270 10
44.82 0.0 31.1 44.82 0.0 32.9 47.49 0.0 31.1 47.49 0.0 32.9 5 y 0.0 270 11
44.82 0.0 34.1 44.82 0.0 35.9 47.49 0.0 34.1 47.49 0.0 35.9 5 y 0.0 270 12
51.31 0.0 1.1 51.31 0.0 2.9 54.46 0.0 1.1 54.46 0.0 2.9 5 y 0.0 270 1
51.31 0.0 4.1 51.31 0.0 5.9 54.46 0.0 4.1 54.46 0.0 5.9 5 y 0.0 270 2
51.31 0.0 7.1 51.31 0.0 8.9 54.46 0.0 7.1 54.46 0.0 8.9 5 y 0.0 270 3
51.31 0.0 10.1 51.31 0.0 11.9 54.46 0.0 10.1 54.46 0.0 11.9 5 y 0.0 270 4
51.31 0.0 13.1 51.31 0.0 14.9 54.46 0.0 13.1 54.46 0.0 14.9 5 y 0.0 270 5
51.31 0.0 16.1 51.31 0.0 17.9 54.46 0.0 16.1 54.46 0.0 17.9 5 y 0.0 270 6
51.31 0.0 19.1 51.31 0.0 20.9 54.46 0.0 19.1 54.46 0.0 20.9 5 y 0.0 270 7
51.31 0.0 22.1 51.31 0.0 23.9 54.46 0.0 22.1 54.46 0.0 23.9 5 y 0.0 270 8
51.31 0.0 25.1 51.31 0.0 26.9 54.46 0.0 25.1 54.46 0.0 26.9 5 y 0.0 270 9
51.31 0.0 28.1 51.31 0.0 29.9 54.46 0.0 28.1 54.46 0.0 29.9 5 y 0.0 270 10
51.31 0.0 31.1 51.31 0.0 32.9 54.46 0.0 31.1 54.46 0.0 32.9 5 y 0.0 270 11
51.31 0.0 34.1 51.31 0.0 35.9 54.46 0.0 34.1 54.46 0.0 35.9 5 y 0.0 270 12
59.51 0.0 1.1 59.51 0.0 2.9 63.52 0.0 1.1 63.52 0.0 2.9 5 y 0.0 270 1
59.51 0.0 4.1 59.51 0.0 5.9 63.52 0.0 4.1 63.52 0.0 5.9 5 y 0.0 270 2
59.51 0.0 7.1 59.51 0.0 8.9 63.52 0.0 7.1 63.52 0.0 8.9 5 y 0.0 270 3
59.51 0.0 10.1 59.51 0.0 11.9 63.52 0.0 10.1 63.52 0.0 11.9 5 y 0.0 270 4
59.51 0.0 13.1 59.51 0.0 14.9 63.52 0.0 13.1 63.52 0.0 14.9 5 y 0.0 270 5
59.51 0.0 16.1 59.51 0.0 17.9 63.52 0.0 16.1 63.52 0.0 17.9 5 y 0.0 270 6
59.51 0.0 19.1 59.51 0.0 20.9 63.52 0.0 19.1 63.52 0.0 20.9 5 y 0.0 270 7
59.51 0.0 22.1 59.51 0.0 23.9 63.52 0.0 22.1 63.52 0.0 23.9 5 y 0.0 270 8
59.51 0.0 25.1 59.51 0.0 26.9 63.52 0.0 25.1 63.52 0.0 26.9 5 y 0.0 270 9
59.51 0.0 28.1 59.51 0.0 29.9 63.52 0.0 28.1 63.52 0.0 29.9 5 y 0.0 270 10
59.51 0.0 31.1 59.51 0.0 32.9 63.52 0.0 31.1 63.52 0.0 32.9 5 y 0.0 270 11
59.51 0.0 34.1 59.51 0.0 35.9 63.52 0.0 34.1 63.52 0.0 35.9 5 y 0.0 270 12
