v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix fix_v angle floor
2.67 58.37 1.1 2.67 58.37 2.9 6.48 58.37 1.1 6.48 58.37 2.9 2 y 58.37 90 1
2.67 58.37 4.1 2.67 58.37 5.9 6.48 58.37 4.1 6.48 58.37 5.9 2 y 58.37 90 2
2.67 58.37 7.1 2.67 58.37 8.9 6.48 58.37 7.1 6.48 58.37 8.9 2 y 58.37 90 3
2.67 58.37 10.1 2.67 58.37 11.9 6.48 58.37 10.1 6.48 58.37 11.9 2 y 58.37 90 4
2.67 58.37 13.1 2.67 58.37 14.9 6.48 58.37 13.1 6.48 58.37 14.9 2 y 58.37 90 5
2.67 58.37 16.1 2.67 58.37 17.9 6.48 58.37 16.1 6.48 58.37 17.9 2 y 58.37 90 6
2.67 58.37 19.1 2.67 58.37 20.9 6.48 58.37 19.1 6.48 58.37 20.9 2 y 58.37 90 7
2.67 58.37 22.1 2.67 58.37 23.9 6.48 58.37 22.1 6.48 58.37 23.9 2 y 58.37 90 8
2.67 58.37 25.1 2.67 58.37 26.9 6.48 58.37 25.1 6.48 58.37 26.9 2 y 58.37 90 9
2.67 58.37 28.1 2.67 58.37 29.9 6.48 58.37 28.1 6.48 58.37 29.9 2 y 58.37 90 10
2.67 58.37 31.1 2.67 58.37 32.9 6.48 58.37 31.1 6.48 58.37 32.9 2 y 58.37 90 11
2.67 58.37 34.1 2.67 58.37 35.9 6.48 58.37 34.1 6.48 58.37 35.9 2 y 58.37 90 12
9.35 58.37 1.1 9.35 58.37 2.9 13.54 58.37 1.1 13.54 58.37 2.9 2 y 58.37 90 1
9.35 58.37 4.1 9.35 58.37 5.9 13.54 58.37 4.1 13.54 58.37 5.9 2 y 58.37 90 2
9.35 58.37 7.1 9.35 58.37 8.9 13.54 58.37 7.1 13.54 58.37 8.9 2 y 58.37 90 3
9.35 58.37 10.1 9.35 58.37 11.9 13.54 58.37 10.1 13.54 58.37 11.9 2 y 58.37 90 4
9.35 58.37 13.1 9.35 58.37 14.9 13.54 58.37 13.1 13.54 58.37 14.9 2 y 58.37 90 5
9.35 58.37 16.1 9.35 58.37 17.9 13.54 58.37 16.1 13.54 58.37 17.9 2 y 58.37 90 6
9.35 58.37 19.1 9.35 58.37 20.9 13.54 58.37 19.1 13.54 58.37 20.9 2 y 58.37 90 7
9.35 58.37 22.1 9.35 58.37 23.9 13.54 58.37 22.1 13.54 58.37 23.9 2 y 58.37 90 8
9.35 58.37 25.1 9.35 58.37 26.9 13.54 58.37 25.1 13.54 58.37 26.9 2 y 58.37 90 9
9.35 58.37 28.1 9.35 58.37 29.9 13.54 58.37 28.1 13.54 58.37 29.9 2 y 58.37 90 10
9.35 58.37 31.1 9.35 58.37 32.9 13.54 58.37 31.1 13.54 58.37 32.9 2 y 58.37 90 11
9.35 58.37 34.1 9.35 58.37 35.9 13.54 58.37 34.1 13.54 58.37 35.9 2 y 58.37 90 12
15.83 58.37 1.1 15.83 58.37 2.9 20.22 58.37 1.1 20.22 58.37 2.9 2 y 58.37 90 1
15.83 58.37 4.1 15.83 58.37 5.9 20.22 58.37 4.1 20.22 58.37 5.9 2 y 58.37 90 2
15.83 58.37 7.1 15.83 58.37 8.9 20.22 58.37 7.1 20.22 58.37 8.9 2 y 58.37 90 3
15.83 58.37 10.1 15.83 58.37 11.9 20.22 58.37 10.1 20.22 58.37 11.9 2 y 58.37 90 4
15.83 58.37 13.1 15.83 58.37 14.9 20.22 58.37 13.1 20.22 58.37 14.9 2 y 58.37 90 5
15.83 58.37 16.1 15.83 58.37 17.9 20.22 58.37 16.1 20.22 58.37 17.9 2 y 58.37 90 6
15.83 58.37 19.1 15.83 58.37 20.9 20.22 58.37 19.1 20.22 58.37 20.9 2 y 58.37 90 7
15.83 58.37 22.1 15.83 58.37 23.9 20.22 58.37 22.1 20.22 58.37 23.9 2 y 58.37 90 8
15.83 58.37 25.1 15.83 58.37 26.9 20.22 58.37 25.1 20.22 58.37 26.9 2 y 58.37 90 9
15.83 58.37 28.1 15.83 58.37 29.9 20.22 58.37 28.1 20.22 58.37 29.9 2 y 58.37 90 10
15.83 58.37 31.1 15.83 58.37 32.9 20.22 58.37 31.1 20.22 58.37 32.9 2 y 58.37 90 11
15.83 58.37 34.1 15.83 58.37 35.9 20.22 58.37 34.1 20.22 58.37 35.9 2 y 58.37 90 12
