v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix fix_v angle floor
32.81 57.89 1.1 32.81 57.89 2.9 32.81 54.55 1.1 32.81 54.55 2.9 1 x 32.81 0 1
32.81 57.89 4.1 32.81 57.89 5.9 32.81 54.55 4.1 32.81 54.55 5.9 1 x 32.81 0 2
32.81 57.89 7.1 32.81 57.89 8.9 32.81 54.55 7.1 32.81 54.55 8.9 1 x 32.81 0 3
32.81 57.89 10.1 32.81 57.89 11.9 32.81 54.55 10.1 32.81 54.55 11.9 1 x 32.81 0 4
32.81 57.89 13.1 32.81 57.89 14.9 32.81 54.55 13.1 32.81 54.55 14.9 1 x 32.81 0 5
32.81 57.89 16.1 32.81 57.89 17.9 32.81 54.55 16.1 32.81 54.55 17.9 1 x 32.81 0 6
32.81 57.89 19.1 32.81 57.89 20.9 32.81 54.55 19.1 32.81 54.55 20.9 1 x 32.81 0 7
32.81 57.89 22.1 32.81 57.89 23.9 32.81 54.55 22.1 32.81 54.55 23.9 1 x 32.81 0 8
32.81 57.89 25.1 32.81 57.89 26.9 32.81 54.55 25.1 32.81 54.55 26.9 1 x 32.81 0 9
32.81 57.89 28.1 32.81 57.89 29.9 32.81 54.55 28.1 32.81 54.55 29.9 1 x 32.81 0 10
32.81 57.89 31.1 32.81 57.89 32.9 32.81 54.55 31.1 32.81 54.55 32.9 1 x 32.81 0 11
32.81 57.89 34.1 32.81 57.89 35.9 32.81 54.55 34.1 32.81 54.55 35.9 1 x 32.81 0 12
32.81 49.89 1.1 32.81 49.89 2.9 32.81 46.16 1.1 32.81 46.16 2.9 1 x 32.81 0 1
32.81 49.89 4.1 32.81 49.89 5.9 32.81 46.16 4.1 32.81 46.16 5.9 1 x 32.81 0 2
32.81 49.89 7.1 32.81 49.89 8.9 32.81 46.16 7.1 32.81 46.16 8.9 1 x 32.81 0 3
32.81 49.89 10.1 32.81 49.89 11.9 32.81 46.16 10.1 32.81 46.16 11.9 1 x 32.81 0 4
32.81 49.89 13.1 32.81 49.89 14.9 32.81 46.16 13.1 32.81 46.16 14.9 1 x 32.81 0 5
32.81 49.89 16.1 32.81 49.89 17.9 32.81 46.16 16.1 32.81 46.16 17.9 1 x 32.81 0 6
32.81 49.89 19.1 32.81 49.89 20.9 32.81 46.16 19.1 32.81 46.16 20.9 1 x 32.81 0 7
32.81 49.89 22.1 32.81 49.89 23.9 32.81 46.16 22.1 32.81 46.16 23.9 1 x 32.81 0 8
32.81 49.89 25.1 32.81 49.89 26.9 32.81 46.16 25.1 32.81 46.16 26.9 1 x 32.81 0 9
32.81 49.89 28.1 32.81 49.89 29.9 32.81 46.16 28.1 32.81 46.16 29.9 1 x 32.81 0 10
32.81 49.89 31.1 32.81 49.89 32.9 32.81 46.16 31.1 32.81 46.16 32.9 1 x 32.81 0 11
32.81 49.89 34.1 32.81 49.89 35.9 32.81 46.16 34.1 32.81 46.16 35.9 1 x 32.81 0 12
32.81 43.4 1.1 32.81 43.4 2.9 32.81 39.49 1.1 32.81 39.49 2.9 1 x 32.81 0 1
32.81 43.4 4.1 32.81 43.4 5.9 32.81 39.49 4.1 32.81 39.49 5.9 1 x 32.81 0 2
32.81 43.4 7.1 32.81 43.4 8.9 32.81 39.49 7.1 32.81 39.49 8.9 1 x 32.81 0 3
32.81 43.4 10.1 32.81 43.4 11.9 32.81 39.49 10.1 32.81 39.49 11.9 1 x 32.81 0 4
32.81 43.4 13.1 32.81 43.4 14.9 32.81 39.49 13.1 32.81 39.49 14.9 1 x 32.81 0 5
32.81 43.4 16.1 32.81 43.4 17.9 32.81 39.49 16.1 32.81 39.49 17.9 1 x 32.81 0 6
32.81 43.4 19.1 32.81 43.4 20.9 32.81 39.49 19.1 32.81 39.49 20.9 1 x 32.81 0 7
32.81 43.4 22.1 32.81 43.4 23.9 32.81 39.49 22.1 32.81 39.49 23.9 1 x 32.81 0 8
32.81 43.4 25.1 32.81 43.4 26.9 32.81 39.49 25.1 32.81 39.49 26.9 1 x 32.81 0 9
32.81 43.4 28.1 32.81 43.4 29.9 32.81 39.49 28.1 32.81 39.49 29.9 1 x 32.81 0 10
32.81 43.4 31.1 32.81 43.4 32.9 32.81 39.49 31.1 32.81 39.49 32.9 1 x 32.81 0 11
32.81 43.4 34.1 32.81 43.4 35.9 32.81 39.49 34.1 32.81 39.49 35.9 1 x 32.81 0 12
32.81 36.53 1.1 32.81 36.53 2.9 32.81 32.62 1.1 32.81 32.62 2.9 1 x 32.81 0 1
32.81 36.53 4.1 32.81 36.53 5.9 32.81 32.62 4.1 32.81 32.62 5.9 1 x 32.81 0 2
32.81 36.53 7.1 32.81 36.53 8.9 32.81 32.62 7.1 32.81 32.62 8.9 1 x 32.81 0 3
32.81 36.53 10.1 32.81 36.53 11.9 32.81 32.62 10.1 32.81 32.62 11.9 1 x 32.81 0 4
32.81 36.53 13.1 32.81 36.53 14.9 32.81 32.62 13.1 32.81 32.62 14.9 1 x 32.81 0 5
32.81 36.53 16.1 32.81 36.53 17.9 32.81 32.62 16.1 32.81 32.62 17.9 1 x 32.81 0 6
32.81 36.53 19.1 32.81 36.53 20.9 32.81 32.62 19.1 32.81 32.62 20.9 1 x 32.81 0 7
32.81 36.53 22.1 32.81 36.53 23.9 32.81 32.62 22.1 32.81 32.62 23.9 1 x 32.81 0 8
32.81 36.53 25.1 32.81 36.53 26.9 32.81 32.62 25.1 32.81 32.62 26.9 1 x 32.81 0 9
32.81 36.53 28.1 32.81 36.53 29.9 32.81 32.62 28.1 32.81 32.62 29.9 1 x 32.81 0 10
32.81 36.53 31.1 32.81 36.53 32.9 32.81 32.62 31.1 32.81 32.62 32.9 1 x 32.81 0 11
32.81 36.53 34.1 32.81 36.53 35.9 32.81 32.62 34.1 32.81 32.62 35.9 1 x 32.81 0 12
