v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix fix_v angle floor
43.97 25.56 1.1 43.97 25.56 2.9 47.97 25.56 1.1 47.97 25.56 2.9 7 y 25.56 90 1
43.97 25.56 4.1 43.97 25.56 5.9 47.97 25.56 4.1 47.97 25.56 5.9 7 y 25.56 90 2
43.97 25.56 7.1 43.97 25.56 8.9 47.97 25.56 7.1 47.97 25.56 8.9 7 y 25.56 90 3
43.97 25.56 10.1 43.97 25.56 11.9 47.97 25.56 10.1 47.97 25.56 11.9 7 y 25.56 90 4
43.97 25.56 13.1 43.97 25.56 14.9 47.97 25.56 13.1 47.97 25.56 14.9 7 y 25.56 90 5
43.97 25.56 16.1 43.97 25.56 17.9 47.97 25.56 16.1 47.97 25.56 17.9 7 y 25.56 90 6
43.97 25.56 19.1 43.97 25.56 20.9 47.97 25.56 19.1 47.97 25.56 20.9 7 y 25.56 90 7
43.97 25.56 22.1 43.97 25.56 23.9 47.97 25.56 22.1 47.97 25.56 23.9 7 y 25.56 90 8
43.97 25.56 25.1 43.97 25.56 26.9 47.97 25.56 25.1 47.97 25.56 26.9 7 y 25.56 90 9
43.97 25.56 28.1 43.97 25.56 29.9 47.97 25.56 28.1 47.97 25.56 29.9 7 y 25.56 90 10
43.97 25.56 31.1 43.97 25.56 32.9 47.97 25.56 31.1 47.97 25.56 32.9 7 y 25.56 90 11
43.97 25.56 34.1 43.97 25.56 35.9 47.97 25.56 34.1 47.97 25.56 35.9 7 y 25.56 90 12
50.74 25.56 1.1 50.74 25.56 2.9 54.84 25.56 1.1 54.84 25.56 2.9 7 y 25.56 90 1
50.74 25.56 4.1 50.74 25.56 5.9 54.84 25.56 4.1 54.84 25.56 5.9 7 y 25.56 90 2
50.74 25.56 7.1 50.74 25.56 8.9 54.84 25.56 7.1 54.84 25.56 8.9 7 y 25.56 90 3
50.74 25.56 10.1 50.74 25.56 11.9 54.84 25.56 10.1 54.84 25.56 11.9 7 y 25.56 90 4
50.74 25.56 13.1 50.74 25.56 14.9 54.84 25.56 13.1 54.84 25.56 14.9 7 y 25.56 90 5
50.74 25.56 16.1 50.74 25.56 17.9 54.84 25.56 16.1 54.84 25.56 17.9 7 y 25.56 90 6
50.74 25.56 19.1 50.74 25.56 20.9 54.84 25.56 19.1 54.84 25.56 20.9 7 y 25.56 90 7
50.74 25.56 22.1 50.74 25.56 23.9 54.84 25.56 22.1 54.84 25.56 23.9 7 y 25.56 90 8
50.74 25.56 25.1 50.74 25.56 26.9 54.84 25.56 25.1 54.84 25.56 26.9 7 y 25.56 90 9
50.74 25.56 28.1 50.74 25.56 29.9 54.84 25.56 28.1 54.84 25.56 29.9 7 y 25.56 90 10
50.74 25.56 31.1 50.74 25.56 32.9 54.84 25.56 31.1 54.84 25.56 32.9 7 y 25.56 90 11
50.74 25.56 34.1 50.74 25.56 35.9 54.84 25.56 34.1 54.84 25.56 35.9 7 y 25.56 90 12
57.41 25.56 1.1 57.41 25.56 2.9 61.51 25.56 1.1 61.51 25.56 2.9 7 y 25.56 90 1
57.41 25.56 4.1 57.41 25.56 5.9 61.51 25.56 4.1 61.51 25.56 5.9 7 y 25.56 90 2
57.41 25.56 7.1 57.41 25.56 8.9 61.51 25.56 7.1 61.51 25.56 8.9 7 y 25.56 90 3
57.41 25.56 10.1 57.41 25.56 11.9 61.51 25.56 10.1 61.51 25.56 11.9 7 y 25.56 90 4
57.41 25.56 13.1 57.41 25.56 14.9 61.51 25.56 13.1 61.51 25.56 14.9 7 y 25.56 90 5
57.41 25.56 16.1 57.41 25.56 17.9 61.51 25.56 16.1 61.51 25.56 17.9 7 y 25.56 90 6
57.41 25.56 19.1 57.41 25.56 20.9 61.51 25.56 19.1 61.51 25.56 20.9 7 y 25.56 90 7
57.41 25.56 22.1 57.41 25.56 23.9 61.51 25.56 22.1 61.51 25.56 23.9 7 y 25.56 90 8
57.41 25.56 25.1 57.41 25.56 26.9 61.51 25.56 25.1 61.51 25.56 26.9 7 y 25.56 90 9
57.41 25.56 28.1 57.41 25.56 29.9 61.51 25.56 28.1 61.51 25.56 29.9 7 y 25.56 90 10
57.41 25.56 31.1 57.41 25.56 32.9 61.51 25.56 31.1 61.51 25.56 32.9 7 y 25.56 90 11
57.41 25.56 34.1 57.41 25.56 35.9 61.51 25.56 34.1 61.51 25.56 35.9 7 y 25.56 90 12
65.01 25.56 1.1 65.01 25.56 2.9 68.19 25.56 1.1 68.19 25.56 2.9 7 y 25.56 90 1
65.01 25.56 4.1 65.01 25.56 5.9 68.19 25.56 4.1 68.19 25.56 5.9 7 y 25.56 90 2
65.01 25.56 7.1 65.01 25.56 8.9 68.19 25.56 7.1 68.19 25.56 8.9 7 y 25.56 90 3
65.01 25.56 10.1 65.01 25.56 11.9 68.19 25.56 10.1 68.19 25.56 11.9 7 y 25.56 90 4
65.01 25.56 13.1 65.01 25.56 14.9 68.19 25.56 13.1 68.19 25.56 14.9 7 y 25.56 90 5
65.01 25.56 16.1 65.01 25.56 17.9 68.19 25.56 16.1 68.19 25.56 17.9 7 y 25.56 90 6
65.01 25.56 19.1 65.01 25.56 20.9 68.19 25.56 19.1 68.19 25.56 20.9 7 y 25.56 90 7
65.01 25.56 22.1 65.01 25.56 23.9 68.19 25.56 22.1 68.19 25.56 23.9 7 y 25.56 90 8
65.01 25.56 25.1 65.01 25.56 26.9 68.19 25.56 25.1 68.19 25.56 26.9 7 y 25.56 90 9
65.01 25.56 28.1 65.01 25.56 29.9 68.19 25.56 28.1 68.19 25.56 29.9 7 y 25.56 90 10
65.01 25.56 31.1 65.01 25.56 32.9 68.19 25.56 31.1 68.19 25.56 32.9 7 y 25.56 90 11
65.01 25.56 34.1 65.01 25.56 35.9 68.19 25.56 34.1 68.19 25.56 35.9 7 y 25.56 90 12
