v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v angle floor
55.79 1.1 55.79 2.9 53.88 1.1 53.88 2.9 3 x 0.0 180 1
55.79 4.1 55.79 5.9 53.88 4.1 53.88 5.9 3 x 0.0 180 2
55.79 7.1 55.79 8.9 53.88 7.1 53.88 8.9 3 x 0.0 180 3
55.79 10.1 55.79 11.9 53.88 10.1 53.88 11.9 3 x 0.0 180 4
55.79 13.1 55.79 14.9 53.88 13.1 53.88 14.9 3 x 0.0 180 5
55.79 16.1 55.79 17.9 53.88 16.1 53.88 17.9 3 x 0.0 180 6
55.79 19.1 55.79 20.9 53.88 19.1 53.88 20.9 3 x 0.0 180 7
55.79 22.1 55.79 23.9 53.88 22.1 53.88 23.9 3 x 0.0 180 8
55.79 25.1 55.79 26.9 53.88 25.1 53.88 26.9 3 x 0.0 180 9
55.79 28.1 55.79 29.9 53.88 28.1 53.88 29.9 3 x 0.0 180 10
55.79 31.1 55.79 32.9 53.88 31.1 53.88 32.9 3 x 0.0 180 11
55.79 34.1 55.79 35.9 53.88 34.1 53.88 35.9 3 x 0.0 180 12
50.45 1.1 50.45 2.9 47.31 1.1 47.31 2.9 3 x 0.0 180 1
50.45 4.1 50.45 5.9 47.31 4.1 47.31 5.9 3 x 0.0 180 2
50.45 7.1 50.45 8.9 47.31 7.1 47.31 8.9 3 x 0.0 180 3
50.45 10.1 50.45 11.9 47.31 10.1 47.31 11.9 3 x 0.0 180 4
50.45 13.1 50.45 14.9 47.31 13.1 47.31 14.9 3 x 0.0 180 5
50.45 16.1 50.45 17.9 47.31 16.1 47.31 17.9 3 x 0.0 180 6
50.45 19.1 50.45 20.9 47.31 19.1 47.31 20.9 3 x 0.0 180 7
50.45 22.1 50.45 23.9 47.31 22.1 47.31 23.9 3 x 0.0 180 8
50.45 25.1 50.45 26.9 47.31 25.1 47.31 26.9 3 x 0.0 180 9
50.45 28.1 50.45 29.9 47.31 28.1 47.31 29.9 3 x 0.0 180 10
50.45 31.1 50.45 32.9 47.31 31.1 47.31 32.9 3 x 0.0 180 11
50.45 34.1 50.45 35.9 47.31 34.1 47.31 35.9 3 x 0.0 180 12
43.78 1.1 43.78 2.9 40.92 1.1 40.92 2.9 3 x 0.0 180 1
43.78 4.1 43.78 5.9 40.92 4.1 40.92 5.9 3 x 0.0 180 2
43.78 7.1 43.78 8.9 40.92 7.1 40.92 8.9 3 x 0.0 180 3
43.78 10.1 43.78 11.9 40.92 10.1 40.92 11.9 3 x 0.0 180 4
43.78 13.1 43.78 14.9 40.92 13.1 40.92 14.9 3 x 0.0 180 5
43.78 16.1 43.78 17.9 40.92 16.1 40.92 17.9 3 x 0.0 180 6
43.78 19.1 43.78 20.9 40.92 19.1 40.92 20.9 3 x 0.0 180 7
43.78 22.1 43.78 23.9 40.92 22.1 40.92 23.9 3 x 0.0 180 8
43.78 25.1 43.78 26.9 40.92 25.1 40.92 26.9 3 x 0.0 180 9
43.78 28.1 43.78 29.9 40.92 28.1 40.92 29.9 3 x 0.0 180 10
43.78 31.1 43.78 32.9 40.92 31.1 40.92 32.9 3 x 0.0 180 11
43.78 34.1 43.78 35.9 40.92 34.1 40.92 35.9 3 x 0.0 180 12
36.43 1.1 36.43 2.9 33.57 1.1 33.57 2.9 3 x 0.0 180 1
36.43 4.1 36.43 5.9 33.57 4.1 33.57 5.9 3 x 0.0 180 2
36.43 7.1 36.43 8.9 33.57 7.1 33.57 8.9 3 x 0.0 180 3
36.43 10.1 36.43 11.9 33.57 10.1 33.57 11.9 3 x 0.0 180 4
36.43 13.1 36.43 14.9 33.57 13.1 33.57 14.9 3 x 0.0 180 5
36.43 16.1 36.43 17.9 33.57 16.1 33.57 17.9 3 x 0.0 180 6
36.43 19.1 36.43 20.9 33.57 19.1 33.57 20.9 3 x 0.0 180 7
36.43 22.1 36.43 23.9 33.57 22.1 33.57 23.9 3 x 0.0 180 8
36.43 25.1 36.43 26.9 33.57 25.1 33.57 26.9 3 x 0.0 180 9
36.43 28.1 36.43 29.9 33.57 28.1 33.57 29.9 3 x 0.0 180 10
36.43 31.1 36.43 32.9 33.57 31.1 33.57 32.9 3 x 0.0 180 11
36.43 34.1 36.43 35.9 33.57 34.1 33.57 35.9 3 x 0.0 180 12
29.19 1.1 29.19 2.9 27.28 1.1 27.28 2.9 3 x 0.0 180 1
29.19 4.1 29.19 5.9 27.28 4.1 27.28 5.9 3 x 0.0 180 2
29.19 7.1 29.19 8.9 27.28 7.1 27.28 8.9 3 x 0.0 180 3
29.19 10.1 29.19 11.9 27.28 10.1 27.28 11.9 3 x 0.0 180 4
29.19 13.1 29.19 14.9 27.28 13.1 27.28 14.9 3 x 0.0 180 5
29.19 16.1 29.19 17.9 27.28 16.1 27.28 17.9 3 x 0.0 180 6
29.19 19.1 29.19 20.9 27.28 19.1 27.28 20.9 3 x 0.0 180 7
29.19 22.1 29.19 23.9 27.28 22.1 27.28 23.9 3 x 0.0 180 8
29.19 25.1 29.19 26.9 27.28 25.1 27.28 26.9 3 x 0.0 180 9
29.19 28.1 29.19 29.9 27.28 28.1 27.28 29.9 3 x 0.0 180 10
29.19 31.1 29.19 32.9 27.28 31.1 27.28 32.9 3 x 0.0 180 11
29.19 34.1 29.19 35.9 27.28 34.1 27.28 35.9 3 x 0.0 180 12
