v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v angle floor
6.58 1.1 6.58 2.9 4.49 1.1 4.49 2.9 6 x 68.38 0 1
6.58 4.1 6.58 5.9 4.49 4.1 4.49 5.9 6 x 68.38 0 2
6.58 7.1 6.58 8.9 4.49 7.1 4.49 8.9 6 x 68.38 0 3
6.58 10.1 6.58 11.9 4.49 10.1 4.49 11.9 6 x 68.38 0 4
6.58 13.1 6.58 14.9 4.49 13.1 4.49 14.9 6 x 68.38 0 5
6.58 16.1 6.58 17.9 4.49 16.1 4.49 17.9 6 x 68.38 0 6
6.58 19.1 6.58 20.9 4.49 19.1 4.49 20.9 6 x 68.38 0 7
6.58 22.1 6.58 23.9 4.49 22.1 4.49 23.9 6 x 68.38 0 8
6.58 25.1 6.58 26.9 4.49 25.1 4.49 26.9 6 x 68.38 0 9
6.58 28.1 6.58 29.9 4.49 28.1 4.49 29.9 6 x 68.38 0 10
6.58 31.1 6.58 32.9 4.49 31.1 4.49 32.9 6 x 68.38 0 11
6.58 34.1 6.58 35.9 4.49 34.1 4.49 35.9 6 x 68.38 0 12
19.55 1.1 19.55 2.9 16.69 1.1 16.69 2.9 6 x 68.38 0 1
19.55 4.1 19.55 5.9 16.69 4.1 16.69 5.9 6 x 68.38 0 2
19.55 7.1 19.55 8.9 16.69 7.1 16.69 8.9 6 x 68.38 0 3
19.55 10.1 19.55 11.9 16.69 10.1 16.69 11.9 6 x 68.38 0 4
19.55 13.1 19.55 14.9 16.69 13.1 16.69 14.9 6 x 68.38 0 5
19.55 16.1 19.55 17.9 16.69 16.1 16.69 17.9 6 x 68.38 0 6
19.55 19.1 19.55 20.9 16.69 19.1 16.69 20.9 6 x 68.38 0 7
19.55 22.1 19.55 23.9 16.69 22.1 16.69 23.9 6 x 68.38 0 8
19.55 25.1 19.55 26.9 16.69 25.1 16.69 26.9 6 x 68.38 0 9
19.55 28.1 19.55 29.9 16.69 28.1 16.69 29.9 6 x 68.38 0 10
19.55 31.1 19.55 32.9 16.69 31.1 16.69 32.9 6 x 68.38 0 11
19.55 34.1 19.55 35.9 16.69 34.1 16.69 35.9 6 x 68.38 0 12
12.69 1.1 12.69 2.9 9.54 1.1 9.54 2.9 6 x 68.38 0 1
12.69 4.1 12.69 5.9 9.54 4.1 9.54 5.9 6 x 68.38 0 2
12.69 7.1 12.69 8.9 9.54 7.1 9.54 8.9 6 x 68.38 0 3
12.69 10.1 12.69 11.9 9.54 10.1 9.54 11.9 6 x 68.38 0 4
12.69 13.1 12.69 14.9 9.54 13.1 9.54 14.9 6 x 68.38 0 5
12.69 16.1 12.69 17.9 9.54 16.1 9.54 17.9 6 x 68.38 0 6
12.69 19.1 12.69 20.9 9.54 19.1 9.54 20.9 6 x 68.38 0 7
12.69 22.1 12.69 23.9 9.54 22.1 9.54 23.9 6 x 68.38 0 8
12.69 25.1 12.69 26.9 9.54 25.1 9.54 26.9 6 x 68.38 0 9
12.69 28.1 12.69 29.9 9.54 28.1 9.54 29.9 6 x 68.38 0 10
12.69 31.1 12.69 32.9 9.54 31.1 9.54 32.9 6 x 68.38 0 11
12.69 34.1 12.69 35.9 9.54 34.1 9.54 35.9 6 x 68.38 0 12
