v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v angle floor
2.67 1.1 2.67 2.9 6.48 1.1 6.48 2.9 2 y 58.37 90 1
2.67 4.1 2.67 5.9 6.48 4.1 6.48 5.9 2 y 58.37 90 2
2.67 7.1 2.67 8.9 6.48 7.1 6.48 8.9 2 y 58.37 90 3
2.67 10.1 2.67 11.9 6.48 10.1 6.48 11.9 2 y 58.37 90 4
2.67 13.1 2.67 14.9 6.48 13.1 6.48 14.9 2 y 58.37 90 5
2.67 16.1 2.67 17.9 6.48 16.1 6.48 17.9 2 y 58.37 90 6
2.67 19.1 2.67 20.9 6.48 19.1 6.48 20.9 2 y 58.37 90 7
2.67 22.1 2.67 23.9 6.48 22.1 6.48 23.9 2 y 58.37 90 8
2.67 25.1 2.67 26.9 6.48 25.1 6.48 26.9 2 y 58.37 90 9
2.67 28.1 2.67 29.9 6.48 28.1 6.48 29.9 2 y 58.37 90 10
2.67 31.1 2.67 32.9 6.48 31.1 6.48 32.9 2 y 58.37 90 11
2.67 34.1 2.67 35.9 6.48 34.1 6.48 35.9 2 y 58.37 90 12
9.35 1.1 9.35 2.9 13.54 1.1 13.54 2.9 2 y 58.37 90 1
9.35 4.1 9.35 5.9 13.54 4.1 13.54 5.9 2 y 58.37 90 2
9.35 7.1 9.35 8.9 13.54 7.1 13.54 8.9 2 y 58.37 90 3
9.35 10.1 9.35 11.9 13.54 10.1 13.54 11.9 2 y 58.37 90 4
9.35 13.1 9.35 14.9 13.54 13.1 13.54 14.9 2 y 58.37 90 5
9.35 16.1 9.35 17.9 13.54 16.1 13.54 17.9 2 y 58.37 90 6
9.35 19.1 9.35 20.9 13.54 19.1 13.54 20.9 2 y 58.37 90 7
9.35 22.1 9.35 23.9 13.54 22.1 13.54 23.9 2 y 58.37 90 8
9.35 25.1 9.35 26.9 13.54 25.1 13.54 26.9 2 y 58.37 90 9
9.35 28.1 9.35 29.9 13.54 28.1 13.54 29.9 2 y 58.37 90 10
9.35 31.1 9.35 32.9 13.54 31.1 13.54 32.9 2 y 58.37 90 11
9.35 34.1 9.35 35.9 13.54 34.1 13.54 35.9 2 y 58.37 90 12
15.83 1.1 15.83 2.9 20.22 1.1 20.22 2.9 2 y 58.37 90 1
15.83 4.1 15.83 5.9 20.22 4.1 20.22 5.9 2 y 58.37 90 2
15.83 7.1 15.83 8.9 20.22 7.1 20.22 8.9 2 y 58.37 90 3
15.83 10.1 15.83 11.9 20.22 10.1 20.22 11.9 2 y 58.37 90 4
15.83 13.1 15.83 14.9 20.22 13.1 20.22 14.9 2 y 58.37 90 5
15.83 16.1 15.83 17.9 20.22 16.1 20.22 17.9 2 y 58.37 90 6
15.83 19.1 15.83 20.9 20.22 19.1 20.22 20.9 2 y 58.37 90 7
15.83 22.1 15.83 23.9 20.22 22.1 20.22 23.9 2 y 58.37 90 8
15.83 25.1 15.83 26.9 20.22 25.1 20.22 26.9 2 y 58.37 90 9
15.83 28.1 15.83 29.9 20.22 28.1 20.22 29.9 2 y 58.37 90 10
15.83 31.1 15.83 32.9 20.22 31.1 20.22 32.9 2 y 58.37 90 11
15.83 34.1 15.83 35.9 20.22 34.1 20.22 35.9 2 y 58.37 90 12
