v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v angle floor
5.44 1.1 5.44 2.9 6.87 1.1 6.87 2.9 5 y 0.0 270 1
5.44 4.1 5.44 5.9 6.87 4.1 6.87 5.9 5 y 0.0 270 2
5.44 7.1 5.44 8.9 6.87 7.1 6.87 8.9 5 y 0.0 270 3
5.44 10.1 5.44 11.9 6.87 10.1 6.87 11.9 5 y 0.0 270 4
5.44 13.1 5.44 14.9 6.87 13.1 6.87 14.9 5 y 0.0 270 5
5.44 16.1 5.44 17.9 6.87 16.1 6.87 17.9 5 y 0.0 270 6
5.44 19.1 5.44 20.9 6.87 19.1 6.87 20.9 5 y 0.0 270 7
5.44 22.1 5.44 23.9 6.87 22.1 6.87 23.9 5 y 0.0 270 8
5.44 25.1 5.44 26.9 6.87 25.1 6.87 26.9 5 y 0.0 270 9
5.44 28.1 5.44 29.9 6.87 28.1 6.87 29.9 5 y 0.0 270 10
5.44 31.1 5.44 32.9 6.87 31.1 6.87 32.9 5 y 0.0 270 11
5.44 34.1 5.44 35.9 6.87 34.1 6.87 35.9 5 y 0.0 270 12
11.25 1.1 11.25 2.9 14.02 1.1 14.02 2.9 5 y 0.0 270 1
11.25 4.1 11.25 5.9 14.02 4.1 14.02 5.9 5 y 0.0 270 2
11.25 7.1 11.25 8.9 14.02 7.1 14.02 8.9 5 y 0.0 270 3
11.25 10.1 11.25 11.9 14.02 10.1 14.02 11.9 5 y 0.0 270 4
11.25 13.1 11.25 14.9 14.02 13.1 14.02 14.9 5 y 0.0 270 5
11.25 16.1 11.25 17.9 14.02 16.1 14.02 17.9 5 y 0.0 270 6
11.25 19.1 11.25 20.9 14.02 19.1 14.02 20.9 5 y 0.0 270 7
11.25 22.1 11.25 23.9 14.02 22.1 14.02 23.9 5 y 0.0 270 8
11.25 25.1 11.25 26.9 14.02 25.1 14.02 26.9 5 y 0.0 270 9
11.25 28.1 11.25 29.9 14.02 28.1 14.02 29.9 5 y 0.0 270 10
11.25 31.1 11.25 32.9 14.02 31.1 14.02 32.9 5 y 0.0 270 11
11.25 34.1 11.25 35.9 14.02 34.1 14.02 35.9 5 y 0.0 270 12
17.93 1.1 17.93 2.9 20.6 1.1 20.6 2.9 5 y 0.0 270 1
17.93 4.1 17.93 5.9 20.6 4.1 20.6 5.9 5 y 0.0 270 2
17.93 7.1 17.93 8.9 20.6 7.1 20.6 8.9 5 y 0.0 270 3
17.93 10.1 17.93 11.9 20.6 10.1 20.6 11.9 5 y 0.0 270 4
17.93 13.1 17.93 14.9 20.6 13.1 20.6 14.9 5 y 0.0 270 5
17.93 16.1 17.93 17.9 20.6 16.1 20.6 17.9 5 y 0.0 270 6
17.93 19.1 17.93 20.9 20.6 19.1 20.6 20.9 5 y 0.0 270 7
17.93 22.1 17.93 23.9 20.6 22.1 20.6 23.9 5 y 0.0 270 8
17.93 25.1 17.93 26.9 20.6 25.1 20.6 26.9 5 y 0.0 270 9
17.93 28.1 17.93 29.9 20.6 28.1 20.6 29.9 5 y 0.0 270 10
17.93 31.1 17.93 32.9 20.6 31.1 20.6 32.9 5 y 0.0 270 11
17.93 34.1 17.93 35.9 20.6 34.1 20.6 35.9 5 y 0.0 270 12
24.41 1.1 24.41 2.9 27.18 1.1 27.18 2.9 5 y 0.0 270 1
24.41 4.1 24.41 5.9 27.18 4.1 27.18 5.9 5 y 0.0 270 2
24.41 7.1 24.41 8.9 27.18 7.1 27.18 8.9 5 y 0.0 270 3
24.41 10.1 24.41 11.9 27.18 10.1 27.18 11.9 5 y 0.0 270 4
24.41 13.1 24.41 14.9 27.18 13.1 27.18 14.9 5 y 0.0 270 5
24.41 16.1 24.41 17.9 27.18 16.1 27.18 17.9 5 y 0.0 270 6
24.41 19.1 24.41 20.9 27.18 19.1 27.18 20.9 5 y 0.0 270 7
24.41 22.1 24.41 23.9 27.18 22.1 27.18 23.9 5 y 0.0 270 8
24.41 25.1 24.41 26.9 27.18 25.1 27.18 26.9 5 y 0.0 270 9
24.41 28.1 24.41 29.9 27.18 28.1 27.18 29.9 5 y 0.0 270 10
24.41 31.1 24.41 32.9 27.18 31.1 27.18 32.9 5 y 0.0 270 11
24.41 34.1 24.41 35.9 27.18 34.1 27.18 35.9 5 y 0.0 270 12
31.09 1.1 31.09 2.9 34.05 1.1 34.05 2.9 5 y 0.0 270 1
31.09 4.1 31.09 5.9 34.05 4.1 34.05 5.9 5 y 0.0 270 2
31.09 7.1 31.09 8.9 34.05 7.1 34.05 8.9 5 y 0.0 270 3
31.09 10.1 31.09 11.9 34.05 10.1 34.05 11.9 5 y 0.0 270 4
31.09 13.1 31.09 14.9 34.05 13.1 34.05 14.9 5 y 0.0 270 5
31.09 16.1 31.09 17.9 34.05 16.1 34.05 17.9 5 y 0.0 270 6
31.09 19.1 31.09 20.9 34.05 19.1 34.05 20.9 5 y 0.0 270 7
31.09 22.1 31.09 23.9 34.05 22.1 34.05 23.9 5 y 0.0 270 8
31.09 25.1 31.09 26.9 34.05 25.1 34.05 26.9 5 y 0.0 270 9
31.09 28.1 31.09 29.9 34.05 28.1 34.05 29.9 5 y 0.0 270 10
31.09 31.1 31.09 32.9 34.05 31.1 34.05 32.9 5 y 0.0 270 11
31.09 34.1 31.09 35.9 34.05 34.1 34.05 35.9 5 y 0.0 270 12
37.86 1.1 37.86 2.9 40.72 1.1 40.72 2.9 5 y 0.0 270 1
37.86 4.1 37.86 5.9 40.72 4.1 40.72 5.9 5 y 0.0 270 2
