id v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v floor dir
4 15.83 1.1 15.83 2.9 20.22 2.9 20.22 1.1 2 y 58.37 1 1
5 9.35 1.1 9.35 2.9 13.54 2.9 13.54 1.1 2 y 58.37 1 1
6 2.67 1.1 2.67 2.9 6.48 2.9 6.48 1.1 2 y 58.37 1 1
36 15.83 4.1 15.83 5.9 20.22 5.9 20.22 4.1 2 y 58.37 2 1
37 9.35 4.1 9.35 5.9 13.54 5.9 13.54 4.1 2 y 58.37 2 1
38 2.67 4.1 2.67 5.9 6.48 5.9 6.48 4.1 2 y 58.37 2 1
68 15.83 7.1 15.83 8.9 20.22 8.9 20.22 7.1 2 y 58.37 3 1
69 9.35 7.1 9.35 8.9 13.54 8.9 13.54 7.1 2 y 58.37 3 1
70 2.67 7.1 2.67 8.9 6.48 8.9 6.48 7.1 2 y 58.37 3 1
100 15.83 10.1 15.83 11.9 20.22 11.9 20.22 10.1 2 y 58.37 4 1
101 9.35 10.1 9.35 11.9 13.54 11.9 13.54 10.1 2 y 58.37 4 1
102 2.67 10.1 2.67 11.9 6.48 11.9 6.48 10.1 2 y 58.37 4 1
132 15.83 13.1 15.83 14.9 20.22 14.9 20.22 13.1 2 y 58.37 5 1
133 9.35 13.1 9.35 14.9 13.54 14.9 13.54 13.1 2 y 58.37 5 1
134 2.67 13.1 2.67 14.9 6.48 14.9 6.48 13.1 2 y 58.37 5 1
164 15.83 16.1 15.83 17.9 20.22 17.9 20.22 16.1 2 y 58.37 6 1
165 9.35 16.1 9.35 17.9 13.54 17.9 13.54 16.1 2 y 58.37 6 1
166 2.67 16.1 2.67 17.9 6.48 17.9 6.48 16.1 2 y 58.37 6 1
196 15.83 19.1 15.83 20.9 20.22 20.9 20.22 19.1 2 y 58.37 7 1
197 9.35 19.1 9.35 20.9 13.54 20.9 13.54 19.1 2 y 58.37 7 1
198 2.67 19.1 2.67 20.9 6.48 20.9 6.48 19.1 2 y 58.37 7 1
228 15.83 22.1 15.83 23.9 20.22 23.9 20.22 22.1 2 y 58.37 8 1
229 9.35 22.1 9.35 23.9 13.54 23.9 13.54 22.1 2 y 58.37 8 1
230 2.67 22.1 2.67 23.9 6.48 23.9 6.48 22.1 2 y 58.37 8 1
260 15.83 25.1 15.83 26.9 20.22 26.9 20.22 25.1 2 y 58.37 9 1
261 9.35 25.1 9.35 26.9 13.54 26.9 13.54 25.1 2 y 58.37 9 1
262 2.67 25.1 2.67 26.9 6.48 26.9 6.48 25.1 2 y 58.37 9 1
292 15.83 28.1 15.83 29.9 20.22 29.9 20.22 28.1 2 y 58.37 10 1
293 9.35 28.1 9.35 29.9 13.54 29.9 13.54 28.1 2 y 58.37 10 1
294 2.67 28.1 2.67 29.9 6.48 29.9 6.48 28.1 2 y 58.37 10 1
324 15.83 31.1 15.83 32.9 20.22 32.9 20.22 31.1 2 y 58.37 11 1
325 9.35 31.1 9.35 32.9 13.54 32.9 13.54 31.1 2 y 58.37 11 1
326 2.67 31.1 2.67 32.9 6.48 32.9 6.48 31.1 2 y 58.37 11 1
356 15.83 34.1 15.83 35.9 20.22 35.9 20.22 34.1 2 y 58.37 12 1
357 9.35 34.1 9.35 35.9 13.54 35.9 13.54 34.1 2 y 58.37 12 1
358 2.67 34.1 2.67 35.9 6.48 35.9 6.48 34.1 2 y 58.37 12 1
