id v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix ang layer
53 37.86 0.0 4.1 37.86 0.0 5.9 40.72 0.0 5.9 40.72 0.0 4.1 5 y 270 2
54 44.82 0.0 4.1 44.82 0.0 5.9 47.49 0.0 5.9 47.49 0.0 4.1 5 y 270 2
55 51.31 0.0 4.1 51.31 0.0 5.9 54.46 0.0 5.9 54.46 0.0 4.1 5 y 270 2
56 59.51 0.0 4.1 59.51 0.0 5.9 63.52 0.0 5.9 63.52 0.0 4.1 5 y 270 2
57 68.38 6.58 4.1 68.38 6.58 5.9 68.38 4.49 5.9 68.38 4.49 4.1 6 x 0 2
58 68.38 12.69 4.1 68.38 12.69 5.9 68.38 9.54 5.9 68.38 9.54 4.1 6 x 0 2
59 68.38 19.55 4.1 68.38 19.55 5.9 68.38 16.69 5.9 68.38 16.69 4.1 6 x 0 2
60 65.01 25.56 4.1 65.01 25.56 5.9 68.19 25.56 5.9 68.19 25.56 4.1 7 y 90 2
61 57.41 25.56 4.1 57.41 25.56 5.9 61.51 25.56 5.9 61.51 25.56 4.1 7 y 90 2
62 50.74 25.56 4.1 50.74 25.56 5.9 54.84 25.56 5.9 54.84 25.56 4.1 7 y 90 2
63 43.97 25.56 4.1 43.97 25.56 5.9 47.97 25.56 5.9 47.97 25.56 4.1 7 y 90 2
64 32.81 36.53 7.1 32.81 36.53 8.9 32.81 32.62 8.9 32.81 32.62 7.1 1 x 0 3
65 32.81 43.4 7.1 32.81 43.4 8.9 32.81 39.49 8.9 32.81 39.49 7.1 1 x 0 3
66 32.81 49.89 7.1 32.81 49.89 8.9 32.81 46.16 8.9 32.81 46.16 7.1 1 x 0 3
67 32.81 57.89 7.1 32.81 57.89 8.9 32.81 54.55 8.9 32.81 54.55 7.1 1 x 0 3
68 15.83 58.37 7.1 15.83 58.37 8.9 20.22 58.37 8.9 20.22 58.37 7.1 2 y 90 3
69 9.35 58.37 7.1 9.35 58.37 8.9 13.54 58.37 8.9 13.54 58.37 7.1 2 y 90 3
70 2.67 58.37 7.1 2.67 58.37 8.9 6.48 58.37 8.9 6.48 58.37 7.1 2 y 90 3
71 0.0 55.79 7.1 0.0 55.79 8.9 0.0 53.88 8.9 0.0 53.88 7.1 3 x 180 3
72 0.0 50.45 7.1 0.0 50.45 8.9 0.0 47.31 8.9 0.0 47.31 7.1 3 x 180 3
73 0.0 43.78 7.1 0.0 43.78 8.9 0.0 40.92 8.9 0.0 40.92 7.1 3 x 180 3
74 0.0 36.43 7.1 0.0 36.43 8.9 0.0 33.57 8.9 0.0 33.57 7.1 3 x 180 3
75 0.0 29.19 7.1 0.0 29.19 8.9 0.0 27.28 8.9 0.0 27.28 7.1 3 x 180 3
76 3.53 24.32 7.1 3.53 24.32 8.9 3.53 20.87 8.9 3.53 20.87 7.1 4 x 180 3
77 3.53 19.46 7.1 3.53 19.46 8.9 3.53 17.77 8.9 3.53 17.77 7.1 4 x 180 3
78 3.53 15.17 7.1 3.53 15.17 8.9 3.53 11.92 8.9 3.53 11.92 7.1 4 x 180 3
79 3.53 8.11 7.1 3.53 8.11 8.9 3.53 5.34 8.9 3.53 5.34 7.1 4 x 180 3
80 5.44 0.0 7.1 5.44 0.0 8.9 6.87 0.0 8.9 6.87 0.0 7.1 5 y 270 3
81 11.25 0.0 7.1 11.25 0.0 8.9 14.02 0.0 8.9 14.02 0.0 7.1 5 y 270 3
82 17.93 0.0 7.1 17.93 0.0 8.9 20.6 0.0 8.9 20.6 0.0 7.1 5 y 270 3
83 24.41 0.0 7.1 24.41 0.0 8.9 27.18 0.0 8.9 27.18 0.0 7.1 5 y 270 3
84 31.09 0.0 7.1 31.09 0.0 8.9 34.05 0.0 8.9 34.05 0.0 7.1 5 y 270 3
85 37.86 0.0 7.1 37.86 0.0 8.9 40.72 0.0 8.9 40.72 0.0 7.1 5 y 270 3
86 44.82 0.0 7.1 44.82 0.0 8.9 47.49 0.0 8.9 47.49 0.0 7.1 5 y 270 3
87 51.31 0.0 7.1 51.31 0.0 8.9 54.46 0.0 8.9 54.46 0.0 7.1 5 y 270 3
88 59.51 0.0 7.1 59.51 0.0 8.9 63.52 0.0 8.9 63.52 0.0 7.1 5 y 270 3
89 68.38 6.58 7.1 68.38 6.58 8.9 68.38 4.49 8.9 68.38 4.49 7.1 6 x 0 3
90 68.38 12.69 7.1 68.38 12.69 8.9 68.38 9.54 8.9 68.38 9.54 7.1 6 x 0 3
91 68.38 19.55 7.1 68.38 19.55 8.9 68.38 16.69 8.9 68.38 16.69 7.1 6 x 0 3
92 65.01 25.56 7.1 65.01 25.56 8.9 68.19 25.56 8.9 68.19 25.56 7.1 7 y 90 3
93 57.41 25.56 7.1 57.41 25.56 8.9 61.51 25.56 8.9 61.51 25.56 7.1 7 y 90 3
94 50.74 25.56 7.1 50.74 25.56 8.9 54.84 25.56 8.9 54.84 25.56 7.1 7 y 90 3
95 43.97 25.56 7.1 43.97 25.56 8.9 47.97 25.56 8.9 47.97 25.56 7.1 7 y 90 3
96 32.81 36.53 10.1 32.81 36.53 11.9 32.81 32.62 11.9 32.81 32.62 10.1 1 x 0 4
97 32.81 43.4 10.1 32.81 43.4 11.9 32.81 39.49 11.9 32.81 39.49 10.1 1 x 0 4
98 32.81 49.89 10.1 32.81 49.89 11.9 32.81 46.16 11.9 32.81 46.16 10.1 1 x 0 4
99 32.81 57.89 10.1 32.81 57.89 11.9 32.81 54.55 11.9 32.81 54.55 10.1 1 x 0 4
100 15.83 58.37 10.1 15.83 58.37 11.9 20.22 58.37 11.9 20.22 58.37 10.1 2 y 90 4
101 9.35 58.37 10.1 9.35 58.37 11.9 13.54 58.37 11.9 13.54 58.37 10.1 2 y 90 4
102 2.67 58.37 10.1 2.67 58.37 11.9 6.48 58.37 11.9 6.48 58.37 10.1 2 y 90 4
103 0.0 55.79 10.1 0.0 55.79 11.9 0.0 53.88 11.9 0.0 53.88 10.1 3 x 180 4
