id v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v floor dir
25 6.58 1.1 6.58 2.9 4.49 2.9 4.49 1.1 6 y -68.38 1 -1
26 12.69 1.1 12.69 2.9 9.54 2.9 9.54 1.1 6 y -68.38 1 -1
27 19.55 1.1 19.55 2.9 16.69 2.9 16.69 1.1 6 y -68.38 1 -1
57 6.58 4.1 6.58 5.9 4.49 5.9 4.49 4.1 6 y -68.38 2 -1
58 12.69 4.1 12.69 5.9 9.54 5.9 9.54 4.1 6 y -68.38 2 -1
59 19.55 4.1 19.55 5.9 16.69 5.9 16.69 4.1 6 y -68.38 2 -1
89 6.58 7.1 6.58 8.9 4.49 8.9 4.49 7.1 6 y -68.38 3 -1
90 12.69 7.1 12.69 8.9 9.54 8.9 9.54 7.1 6 y -68.38 3 -1
91 19.55 7.1 19.55 8.9 16.69 8.9 16.69 7.1 6 y -68.38 3 -1
121 6.58 10.1 6.58 11.9 4.49 11.9 4.49 10.1 6 y -68.38 4 -1
122 12.69 10.1 12.69 11.9 9.54 11.9 9.54 10.1 6 y -68.38 4 -1
123 19.55 10.1 19.55 11.9 16.69 11.9 16.69 10.1 6 y -68.38 4 -1
153 6.58 13.1 6.58 14.9 4.49 14.9 4.49 13.1 6 y -68.38 5 -1
154 12.69 13.1 12.69 14.9 9.54 14.9 9.54 13.1 6 y -68.38 5 -1
155 19.55 13.1 19.55 14.9 16.69 14.9 16.69 13.1 6 y -68.38 5 -1
185 6.58 16.1 6.58 17.9 4.49 17.9 4.49 16.1 6 y -68.38 6 -1
186 12.69 16.1 12.69 17.9 9.54 17.9 9.54 16.1 6 y -68.38 6 -1
187 19.55 16.1 19.55 17.9 16.69 17.9 16.69 16.1 6 y -68.38 6 -1
217 6.58 19.1 6.58 20.9 4.49 20.9 4.49 19.1 6 y -68.38 7 -1
218 12.69 19.1 12.69 20.9 9.54 20.9 9.54 19.1 6 y -68.38 7 -1
219 19.55 19.1 19.55 20.9 16.69 20.9 16.69 19.1 6 y -68.38 7 -1
249 6.58 22.1 6.58 23.9 4.49 23.9 4.49 22.1 6 y -68.38 8 -1
250 12.69 22.1 12.69 23.9 9.54 23.9 9.54 22.1 6 y -68.38 8 -1
251 19.55 22.1 19.55 23.9 16.69 23.9 16.69 22.1 6 y -68.38 8 -1
281 6.58 25.1 6.58 26.9 4.49 26.9 4.49 25.1 6 y -68.38 9 -1
282 12.69 25.1 12.69 26.9 9.54 26.9 9.54 25.1 6 y -68.38 9 -1
283 19.55 25.1 19.55 26.9 16.69 26.9 16.69 25.1 6 y -68.38 9 -1
313 6.58 28.1 6.58 29.9 4.49 29.9 4.49 28.1 6 y -68.38 10 -1
314 12.69 28.1 12.69 29.9 9.54 29.9 9.54 28.1 6 y -68.38 10 -1
315 19.55 28.1 19.55 29.9 16.69 29.9 16.69 28.1 6 y -68.38 10 -1
345 6.58 31.1 6.58 32.9 4.49 32.9 4.49 31.1 6 y -68.38 11 -1
346 12.69 31.1 12.69 32.9 9.54 32.9 9.54 31.1 6 y -68.38 11 -1
347 19.55 31.1 19.55 32.9 16.69 32.9 16.69 31.1 6 y -68.38 11 -1
377 6.58 34.1 6.58 35.9 4.49 35.9 4.49 34.1 6 y -68.38 12 -1
378 12.69 34.1 12.69 35.9 9.54 35.9 9.54 34.1 6 y -68.38 12 -1
379 19.55 34.1 19.55 35.9 16.69 35.9 16.69 34.1 6 y -68.38 12 -1
