id v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v floor dir
7 -55.79 1.1 -55.79 2.9 -53.88 2.9 -53.88 1.1 3 y 0.0 1 -1
8 -50.45 1.1 -50.45 2.9 -47.31 2.9 -47.31 1.1 3 y 0.0 1 -1
9 -43.78 1.1 -43.78 2.9 -40.92 2.9 -40.92 1.1 3 y 0.0 1 -1
10 -36.43 1.1 -36.43 2.9 -33.57 2.9 -33.57 1.1 3 y 0.0 1 -1
11 -29.19 1.1 -29.19 2.9 -27.28 2.9 -27.28 1.1 3 y 0.0 1 -1
39 -55.79 4.1 -55.79 5.9 -53.88 5.9 -53.88 4.1 3 y 0.0 2 -1
40 -50.45 4.1 -50.45 5.9 -47.31 5.9 -47.31 4.1 3 y 0.0 2 -1
41 -43.78 4.1 -43.78 5.9 -40.92 5.9 -40.92 4.1 3 y 0.0 2 -1
42 -36.43 4.1 -36.43 5.9 -33.57 5.9 -33.57 4.1 3 y 0.0 2 -1
43 -29.19 4.1 -29.19 5.9 -27.28 5.9 -27.28 4.1 3 y 0.0 2 -1
71 -55.79 7.1 -55.79 8.9 -53.88 8.9 -53.88 7.1 3 y 0.0 3 -1
72 -50.45 7.1 -50.45 8.9 -47.31 8.9 -47.31 7.1 3 y 0.0 3 -1
73 -43.78 7.1 -43.78 8.9 -40.92 8.9 -40.92 7.1 3 y 0.0 3 -1
74 -36.43 7.1 -36.43 8.9 -33.57 8.9 -33.57 7.1 3 y 0.0 3 -1
75 -29.19 7.1 -29.19 8.9 -27.28 8.9 -27.28 7.1 3 y 0.0 3 -1
103 -55.79 10.1 -55.79 11.9 -53.88 11.9 -53.88 10.1 3 y 0.0 4 -1
104 -50.45 10.1 -50.45 11.9 -47.31 11.9 -47.31 10.1 3 y 0.0 4 -1
105 -43.78 10.1 -43.78 11.9 -40.92 11.9 -40.92 10.1 3 y 0.0 4 -1
106 -36.43 10.1 -36.43 11.9 -33.57 11.9 -33.57 10.1 3 y 0.0 4 -1
107 -29.19 10.1 -29.19 11.9 -27.28 11.9 -27.28 10.1 3 y 0.0 4 -1
135 -55.79 13.1 -55.79 14.9 -53.88 14.9 -53.88 13.1 3 y 0.0 5 -1
136 -50.45 13.1 -50.45 14.9 -47.31 14.9 -47.31 13.1 3 y 0.0 5 -1
