id v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v floor dir
137 -43.78 13.1 -43.78 14.9 -40.92 14.9 -40.92 13.1 3 y 0.0 5 -1
138 -36.43 13.1 -36.43 14.9 -33.57 14.9 -33.57 13.1 3 y 0.0 5 -1
139 -29.19 13.1 -29.19 14.9 -27.28 14.9 -27.28 13.1 3 y 0.0 5 -1
167 -55.79 16.1 -55.79 17.9 -53.88 17.9 -53.88 16.1 3 y 0.0 6 -1
168 -50.45 16.1 -50.45 17.9 -47.31 17.9 -47.31 16.1 3 y 0.0 6 -1
169 -43.78 16.1 -43.78 17.9 -40.92 17.9 -40.92 16.1 3 y 0.0 6 -1
170 -36.43 16.1 -36.43 17.9 -33.57 17.9 -33.57 16.1 3 y 0.0 6 -1
171 -29.19 16.1 -29.19 17.9 -27.28 17.9 -27.28 16.1 3 y 0.0 6 -1
199 -55.79 19.1 -55.79 20.9 -53.88 20.9 -53.88 19.1 3 y 0.0 7 -1
200 -50.45 19.1 -50.45 20.9 -47.31 20.9 -47.31 19.1 3 y 0.0 7 -1
201 -43.78 19.1 -43.78 20.9 -40.92 20.9 -40.92 19.1 3 y 0.0 7 -1
202 -36.43 19.1 -36.43 20.9 -33.57 20.9 -33.57 19.1 3 y 0.0 7 -1
203 -29.19 19.1 -29.19 20.9 -27.28 20.9 -27.28 19.1 3 y 0.0 7 -1
231 -55.79 22.1 -55.79 23.9 -53.88 23.9 -53.88 22.1 3 y 0.0 8 -1
232 -50.45 22.1 -50.45 23.9 -47.31 23.9 -47.31 22.1 3 y 0.0 8 -1
233 -43.78 22.1 -43.78 23.9 -40.92 23.9 -40.92 22.1 3 y 0.0 8 -1
234 -36.43 22.1 -36.43 23.9 -33.57 23.9 -33.57 22.1 3 y 0.0 8 -1
235 -29.19 22.1 -29.19 23.9 -27.28 23.9 -27.28 22.1 3 y 0.0 8 -1
263 -55.79 25.1 -55.79 26.9 -53.88 26.9 -53.88 25.1 3 y 0.0 9 -1
264 -50.45 25.1 -50.45 26.9 -47.31 26.9 -47.31 25.1 3 y 0.0 9 -1
265 -43.78 25.1 -43.78 26.9 -40.92 26.9 -40.92 25.1 3 y 0.0 9 -1
266 -36.43 25.1 -36.43 26.9 -33.57 26.9 -33.57 25.1 3 y 0.0 9 -1
267 -29.19 25.1 -29.19 26.9 -27.28 26.9 -27.28 25.1 3 y 0.0 9 -1
295 -55.79 28.1 -55.79 29.9 -53.88 29.9 -53.88 28.1 3 y 0.0 10 -1
296 -50.45 28.1 -50.45 29.9 -47.31 29.9 -47.31 28.1 3 y 0.0 10 -1
297 -43.78 28.1 -43.78 29.9 -40.92 29.9 -40.92 28.1 3 y 0.0 10 -1
298 -36.43 28.1 -36.43 29.9 -33.57 29.9 -33.57 28.1 3 y 0.0 10 -1
299 -29.19 28.1 -29.19 29.9 -27.28 29.9 -27.28 28.1 3 y 0.0 10 -1
327 -55.79 31.1 -55.79 32.9 -53.88 32.9 -53.88 31.1 3 y 0.0 11 -1
328 -50.45 31.1 -50.45 32.9 -47.31 32.9 -47.31 31.1 3 y 0.0 11 -1
329 -43.78 31.1 -43.78 32.9 -40.92 32.9 -40.92 31.1 3 y 0.0 11 -1
330 -36.43 31.1 -36.43 32.9 -33.57 32.9 -33.57 31.1 3 y 0.0 11 -1
331 -29.19 31.1 -29.19 32.9 -27.28 32.9 -27.28 31.1 3 y 0.0 11 -1
359 -55.79 34.1 -55.79 35.9 -53.88 35.9 -53.88 34.1 3 y 0.0 12 -1
360 -50.45 34.1 -50.45 35.9 -47.31 35.9 -47.31 34.1 3 y 0.0 12 -1
361 -43.78 34.1 -43.78 35.9 -40.92 35.9 -40.92 34.1 3 y 0.0 12 -1
362 -36.43 34.1 -36.43 35.9 -33.57 35.9 -33.57 34.1 3 y 0.0 12 -1
363 -29.19 34.1 -29.19 35.9 -27.28 35.9 -27.28 34.1 3 y 0.0 12 -1
