id v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v floor dir
243 24.41 22.1 24.41 23.9 27.18 23.9 27.18 22.1 5 y 0.0 8 -1
244 31.09 22.1 31.09 23.9 34.05 23.9 34.05 22.1 5 y 0.0 8 -1
245 37.86 22.1 37.86 23.9 40.72 23.9 40.72 22.1 5 y 0.0 8 -1
246 44.82 22.1 44.82 23.9 47.49 23.9 47.49 22.1 5 y 0.0 8 -1
247 51.31 22.1 51.31 23.9 54.46 23.9 54.46 22.1 5 y 0.0 8 -1
248 59.51 22.1 59.51 23.9 63.52 23.9 63.52 22.1 5 y 0.0 8 -1
272 5.44 25.1 5.44 26.9 6.87 26.9 6.87 25.1 5 y 0.0 9 -1
273 11.25 25.1 11.25 26.9 14.02 26.9 14.02 25.1 5 y 0.0 9 -1
274 17.93 25.1 17.93 26.9 20.6 26.9 20.6 25.1 5 y 0.0 9 -1
275 24.41 25.1 24.41 26.9 27.18 26.9 27.18 25.1 5 y 0.0 9 -1
276 31.09 25.1 31.09 26.9 34.05 26.9 34.05 25.1 5 y 0.0 9 -1
277 37.86 25.1 37.86 26.9 40.72 26.9 40.72 25.1 5 y 0.0 9 -1
278 44.82 25.1 44.82 26.9 47.49 26.9 47.49 25.1 5 y 0.0 9 -1
279 51.31 25.1 51.31 26.9 54.46 26.9 54.46 25.1 5 y 0.0 9 -1
280 59.51 25.1 59.51 26.9 63.52 26.9 63.52 25.1 5 y 0.0 9 -1
304 5.44 28.1 5.44 29.9 6.87 29.9 6.87 28.1 5 y 0.0 10 -1
305 11.25 28.1 11.25 29.9 14.02 29.9 14.02 28.1 5 y 0.0 10 -1
306 17.93 28.1 17.93 29.9 20.6 29.9 20.6 28.1 5 y 0.0 10 -1
307 24.41 28.1 24.41 29.9 27.18 29.9 27.18 28.1 5 y 0.0 10 -1
308 31.09 28.1 31.09 29.9 34.05 29.9 34.05 28.1 5 y 0.0 10 -1
309 37.86 28.1 37.86 29.9 40.72 29.9 40.72 28.1 5 y 0.0 10 -1
310 44.82 28.1 44.82 29.9 47.49 29.9 47.49 28.1 5 y 0.0 10 -1
311 51.31 28.1 51.31 29.9 54.46 29.9 54.46 28.1 5 y 0.0 10 -1
312 59.51 28.1 59.51 29.9 63.52 29.9 63.52 28.1 5 y 0.0 10 -1
336 5.44 31.1 5.44 32.9 6.87 32.9 6.87 31.1 5 y 0.0 11 -1
337 11.25 31.1 11.25 32.9 14.02 32.9 14.02 31.1 5 y 0.0 11 -1
338 17.93 31.1 17.93 32.9 20.6 32.9 20.6 31.1 5 y 0.0 11 -1
339 24.41 31.1 24.41 32.9 27.18 32.9 27.18 31.1 5 y 0.0 11 -1
340 31.09 31.1 31.09 32.9 34.05 32.9 34.05 31.1 5 y 0.0 11 -1
341 37.86 31.1 37.86 32.9 40.72 32.9 40.72 31.1 5 y 0.0 11 -1
342 44.82 31.1 44.82 32.9 47.49 32.9 47.49 31.1 5 y 0.0 11 -1
343 51.31 31.1 51.31 32.9 54.46 32.9 54.46 31.1 5 y 0.0 11 -1
344 59.51 31.1 59.51 32.9 63.52 32.9 63.52 31.1 5 y 0.0 11 -1
368 5.44 34.1 5.44 35.9 6.87 35.9 6.87 34.1 5 y 0.0 12 -1
369 11.25 34.1 11.25 35.9 14.02 35.9 14.02 34.1 5 y 0.0 12 -1
370 17.93 34.1 17.93 35.9 20.6 35.9 20.6 34.1 5 y 0.0 12 -1
371 24.41 34.1 24.41 35.9 27.18 35.9 27.18 34.1 5 y 0.0 12 -1
372 31.09 34.1 31.09 35.9 34.05 35.9 34.05 34.1 5 y 0.0 12 -1
373 37.86 34.1 37.86 35.9 40.72 35.9 40.72 34.1 5 y 0.0 12 -1
374 44.82 34.1 44.82 35.9 47.49 35.9 47.49 34.1 5 y 0.0 12 -1
375 51.31 34.1 51.31 35.9 54.46 35.9 54.46 34.1 5 y 0.0 12 -1
376 59.51 34.1 59.51 35.9 63.52 35.9 63.52 34.1 5 y 0.0 12 -1
